time,Vdc,da,db,dc,Ia,Ib,Ic
0,24,0,0,0,1.19999958452661e-05,0,0
0.0002,24,0,0,0,2.39999568010979e-05,2.39996512232247e-05,2.40002623769221e-05
0.0004,24,1,1,0,12.565512058255,12.5620343209012,2.65191943319797e-05
0.0006,24,0,0,0,3.53087705450048e-05,3.52990626939457e-05,2.14940207673756e-05
0.0008,24,0,0,1,2.51940068472245e-05,2.5192664930653e-05,11.9410598526522
0.001,24,0,0,0,2.28059890890468e-05,2.28039510544057e-05,3.59428046644874e-05
0.0012,24,0,0,0,2.39999729548581e-05,2.3997850874124e-05,2.4002111289101e-05
0.0014,24,1,1,0,12.5655218138766,12.5610748214634,2.65209151902504e-05
0.0016,24,0,0,0,3.53087646813734e-05,3.52964002623323e-05,2.14959314308013e-05
0.0018,24,0,0,1,2.51939901010261e-05,2.51910480447918e-05,11.9419630083431
0.002,24,0,0,0,2.28060081653208e-05,2.28019372616221e-05,3.59455231530273e-05
0.0022,24,0,0,0,2.39999743808477e-05,2.39960355208909e-05,2.40039266292237e-05
0.0024,24,1,1,0,12.5655323766224,12.5601167396137,2.6522633682864e-05
0.0026,24,0,0,0,3.53087614169687e-05,3.52937416091349e-05,2.14978392829706e-05
0.0028,24,0,0,1,2.51939747056481e-05,2.51894334954319e-05,11.9428648680335
0.003,24,0,0,0,2.28060286681255e-05,2.27999263431376e-05,3.59482377388425e-05
0.0032,24,0,0,0,2.3999977348679e-05,2.39942227862344e-05,2.40057393643876e-05
0.0034,24,1,1,0,12.5655439879507,12.5591603676711,2.65243493329425e-05
0.0036,24,0,0,0,3.53087614858797e-05,3.52910874995449e-05,2.14997436820952e-05
0.0038,24,0,0,1,2.51939611553872e-05,2.51878217546268e-05,11.9437651679988
0.004,24,0,0,0,2.28060510807735e-05,2.27979188870641e-05,3.59509476281342e-05
0.0042,24,0,0,0,2.39999823874175e-05,2.39924132410832e-05,2.40075489645078e-05
0.0044,24,1,1,0,12.5655568874407,12.5582059972129,2.65260616645149e-05
0.0046,24,0,0,0,3.53087656164384e-05,3.52884386970773e-05,2.15016440461261e-05
0.0048,24,0,0,1,2.51939499407545e-05,2.51862132933356e-05,11.9446636451157
0.005,24,0,0,0,2.2806075882693e-05,2.27959154801918e-05,3.59536520289142e-05
0.0052,24,0,0,0,2.39999898723088e-05,2.39906073053857e-05,2.40093549007068e-05
0.0054,24,1,1,0,12.5655713124525,12.557253918982,2.65277702026545e-05
0.0056,24,0,0,0,3.53087745301711e-05,3.52857959633675e-05,2.15035398464968e-05
0.0058,24,0,0,1,2.5193941547766e-05,2.51846085812862e-05,11.9455600369377
0.006,24,0,0,0,2.28061035487216e-05,2.27939167078182e-05,3.59563501512345e-05
0.0062,24,0,0,0,2.40000003374135e-05,2.39888055611245e-05,2.40111566454683e-05
0.0064,24,1,1,0,12.5655874977771,12.5563044227886,2.65294744735875e-05
0.0066,24,0,0,0,3.53087889407465e-05,3.52831600579641e-05,2.15054304788173e-05
0.0068,24,0,0,1,2.51939364572386e-05,2.51830080868388e-05,11.9464540817722
0.007,24,0,0,0,2.28061345484067e-05,2.27919231535783e-05,3.5959041207418e-05
0.0072,24,0,0,0,2.40000142569302e-05,2.39870085343009e-05,2.40129536727909e-05
0.0074,24,1,1,0,12.5656056752904,12.5553577974123,2.65311740048009e-05
0.0076,24,0,0,0,3.53088095529347e-05,3.5280531738122e-05,2.15073153666688e-05
0.0078,24,0,0,1,2.51939351440938e-05,2.51814122768502e-05,11.9473455187559
0.008,24,0,0,0,2.28061693453137e-05,2.27899353992749e-05,3.59617244122858e-05
0.0082,24,0,0,0,2.40000320445015e-05,2.39852166948029e-05,2.40147454583403e-05
0.0084,24,1,1,0,12.5656260736099,12.5544143305046,2.65328683251508e-05
0.0086,24,0,0,0,3.53088370615776e-05,3.52779117585973e-05,2.15091939359008e-05
0.0088,24,0,0,1,2.51939380766699e-05,2.51798216165386e-05,11.9482340879308
0.009,24,0,0,0,2.2806208396342e-05,2.27879540247097e-05,3.59643989833857e-05
0.0092,24,0,0,0,2.40000542705081e-05,2.39834306740415e-05,2.40165314796017e-05
0.0094,24,1,1,0,12.5656489177578,12.5534743084931,2.65345569649701e-05
0.0096,24,0,0,0,3.53088721505741e-05,3.52753008714415e-05,2.15110657184679e-05
0.0098,24,0,0,1,2.51939457160427e-05,2.51782365693494e-05,11.949119530319
0.01,24,0,0,0,2.28062521510502e-05,2.27859796075155e-05,3.59670641412185e-05
0.0102,24,0,0,0,2.40000813344262e-05,2.39816509381107e-05,2.40183112160307e-05
0.0104,24,1,1,0,12.5656744288265,12.5525380164841,2.6536239456176e-05
0.0106,24,0,0,0,3.53089154918788e-05,3.52726998257982e-05,2.15129298344137e-05
0.0108,24,0,0,1,2.5193958515356e-05,2.51766575968209e-05,11.9500015879981
0.011,24,0,0,0,2.28063010509918e-05,2.27840127229886e-05,3.59697191094626e-05
0.0112,24,0,0,0,2.40001136821397e-05,2.39798780054338e-05,2.40200841492039e-05
0.0114,24,1,1,0,12.5657028236519,12.5516057381687,2.65379153323777e-05
0.0116,24,0,0,0,3.53089677445162e-05,3.52701093676986e-05,2.15147861321394e-05
0.0118,24,0,0,1,2.51939769191635e-05,2.51750851584517e-05,11.9508800041753
0.012,24,0,0,0,2.28063555290609e-05,2.27820539439229e-05,3.59723631151998e-05
0.0122,24,0,0,0,2.40001517507916e-05,2.39781123921631e-05,2.40218497629689e-05
0.0124,24,1,1,0,12.5657343144897,12.5506777557269,2.65395841289832e-05
0.0126,24,0,0,0,3.53090295536144e-05,3.52675302398608e-05,2.15166336338893e-05
0.0128,24,0,0,1,2.51940013627813e-05,2.51735197115679e-05,11.9517545232617
0.013,24,0,0,0,2.280641600885e-05,2.27801038404443e-05,3.59749953891362e-05
0.0132,24,0,0,0,2.40001959681409e-05,2.39763546120314e-05,2.40236075435926e-05
0.0134,24,1,1,0,12.5657691087009,12.5497543497351,2.65412453833066e-05
0.0136,24,0,0,0,3.53091015494532e-05,3.52649631814867e-05,2.15184721943938e-05
0.0138,24,0,0,1,2.51940322716527e-05,2.51719617111921e-05,11.9526248909458
0.014,24,0,0,0,2.28064829040195e-05,2.2778162979846e-05,3.59776151658259e-05
0.0142,24,0,0,0,2.4000246751932e-05,2.39746051762035e-05,2.40253569799101e-05
0.0144,24,1,1,0,12.5658074084398,12.5488357990718,2.65428986346749e-05
0.0146,24,0,0,0,3.53091843465355e-05,3.52624089280631e-05,2.15203008424816e-05
0.0148,24,0,0,1,2.5194070060727e-05,2.51704116099122e-05,11.9534908542672
0.015,24,0,0,0,2.28065566176814e-05,2.27762319264249e-05,3.59802216838896e-05
0.0152,24,0,0,0,2.40003045092775e-05,2.39728645931297e-05,2.40270975634712e-05
0.0154,24,1,1,0,12.565849410353,12.5479223808267,2.65445434245347e-05
0.0156,24,0,0,0,3.53092785426761e-05,3.52598682111606e-05,2.15221194399619e-05
0.0158,24,0,0,1,2.51941151338505e-05,2.51688698577517e-05,11.9543521616882
0.016,24,0,0,0,2.28066375417955e-05,2.27743112413196e-05,3.5982814186235e-05
0.0162,24,0,0,0,2.40003696360544e-05,2.3971133368399e-05,2.40288287886865e-05
0.0164,24,1,1,0,12.5658953052817,12.5470143702081,2.65461792965584e-05
0.0166,24,0,0,0,3.53093847181142e-05,3.52573417582374e-05,2.15239270229915e-05
0.0168,24,0,0,1,2.51941678831729e-05,2.51673369020409e-05,11.955208563167
0.017,24,0,0,0,2.28067260565814e-05,2.27724014823484e-05,3.59853919202727e-05
0.0172,24,0,0,0,2.40004425163155e-05,2.3969412004594e-05,2.40305501529734e-05
0.0174,24,1,1,0,12.565945277974,12.5461120404534,2.65478057967509e-05
