time,Vdc,da,db,dc,Ia,Ib,Ic
0,24,0,0,0,-1.4802957685331e-21,7.40147884266551e-22,7.40147884266551e-22
0.0002,24,0,0,0,2.3999956575019e-05,2.39987344926829e-05,2.40011791074726e-05
0.0004,24,1,1,0,12.5031383813496,12.5579653706547,2.65143814907063e-05
0.0006,24,0,0,0,3.52466789172375e-05,3.52986487220378e-05,2.15034123563474e-05
0.0008,24,0,0,1,2.51939626974195e-05,2.51894025547307e-05,11.9428832592327
0.001,24,0,0,0,2.28060774898995e-05,2.27989153189314e-05,3.59492090395796e-05
0.0012,24,0,0,0,2.39999764204682e-05,2.39923532749395e-05,2.4007608650337e-05
0.0014,24,1,1,0,12.5031727768157,12.5545875649458,2.65204397018362e-05
0.0016,24,0,0,0,3.52466599768383e-05,3.52892721835901e-05,2.15101422618474e-05
0.0018,24,0,0,1,2.51939077962965e-05,2.5183709015749e-05,11.9460636461915
0.002,24,0,0,0,2.28061504444234e-05,2.27918237253817e-05,3.59587819447959e-05
0.0022,24,0,0,0,2.39999885211119e-05,2.39859606956152e-05,2.40140012178515e-05
0.0024,24,1,1,0,12.5032131263128,12.5512139972893,2.6526491691144e-05
0.0026,24,0,0,0,3.52466607276056e-05,3.52799062743962e-05,2.15168635233391e-05
0.0028,24,0,0,1,2.51938656777221e-05,2.5178022322496e-05,11.9492403222486
0.003,24,0,0,0,2.28062376553773e-05,2.27847402149375e-05,3.59683436581978e-05
0.0032,24,0,0,0,2.40000159563546e-05,2.39795755888063e-05,2.40203863264599e-05
0.0034,24,1,1,0,12.5032624441737,12.5478457998003,2.65325360146208e-05
0.0036,24,0,0,0,3.52466902728457e-05,3.52705535693934e-05,2.15235738081711e-05
0.0038,24,0,0,1,2.51938424442041e-05,2.51723441295687e-05,11.9524123626739
0.004,24,0,0,0,2.28063451825639e-05,2.27776668503704e-05,3.59778913964422e-05
0.0042,24,0,0,0,2.40000648414774e-05,2.39731998540069e-05,2.40267621174589e-05
0.0044,24,1,1,0,12.5033237261244,12.5444841014946,2.65385712299141e-05
0.0046,24,0,0,0,3.52467576582597e-05,3.52612166391575e-05,2.15302708477424e-05
0.0048,24,0,0,1,2.51938441590986e-05,2.51666760879946e-05,11.955578844601
0.005,24,0,0,0,2.28064790451736e-05,2.27706056905179e-05,3.59874223818206e-05
0.0052,24,0,0,0,2.40001411011874e-05,2.3966835237354e-05,2.40331267358906e-05
0.0054,24,1,1,0,12.5033999449251,12.5411300278058,2.65445958963882e-05
0.0056,24,0,0,0,3.52468718588103e-05,3.52518980493599e-05,2.15369524321066e-05
0.0058,24,0,0,1,2.519387683782e-05,2.51610198447689e-05,11.9587388472864
0.006,24,0,0,0,2.2806645213014e-05,2.27635587897037e-05,3.59969338430393e-05
0.0062,24,0,0,0,2.40002507726368e-05,2.39604836439557e-05,2.40394783310636e-05
0.0064,24,1,1,0,12.5034940460396,12.5377847001011,2.65506085751528e-05
0.0066,24,0,0,0,3.52470417656859e-05,3.52426003602264e-05,2.15436162813523e-05
0.0068,24,0,0,1,2.51939464391185e-05,2.51553770423977e-05,11.9618914523652
0.007,24,0,0,0,2.28068495978104e-05,2.27565281971644e-05,3.60064230159904e-05
0.0072,24,0,0,0,2.40003997798276e-05,2.39541469197213e-05,2.40458150570686e-05
0.0074,24,1,1,0,12.5036089433414,12.5344492352033,2.65566078290888e-05
0.0076,24,0,0,0,3.52472761733825e-05,3.52333261260011e-05,2.15502601502737e-05
0.0078,24,0,0,1,2.51940588564398e-05,2.51497493184466e-05,11.9650357441052
0.008,24,0,0,0,2.28070980445879e-05,2.27495159564822e-05,3.60158871445149e-05
0.0082,24,0,0,0,2.40005939249931e-05,2.39478268509235e-05,2.40521350732869e-05
