time,Vdc,da,db,dc,Ia,Ib,Ic
0,24,0,0,0,-1.48029577840173e-21,7.40147889200865e-22,7.40147889200865e-22
0.0002,24,0,0,0,2.39999568000778e-05,2.39999568000778e-05,2.39999568000778e-05
0.0004,24,0,1,0,2.5194013330501e-05,11.9397558882764,2.51949954238293e-05
0.0006,24,0,0,0,2.28059409756031e-05,3.59385686285587e-05,2.28071886559426e-05
0.0008,24,0,0,1,2.51940000071181e-05,2.51940144974294e-05,11.9403094134718
0.001,24,0,0,0,2.28059519928868e-05,2.28059520507479e-05,3.59402370036993e-05
0.0012,24,0,0,0,2.39999737313807e-05,2.39999737960143e-05,2.39999881273776e-05
0.0014,24,0,1,0,2.51940133548633e-05,11.9397559139964,2.51949953778222e-05
0.0016,24,0,0,0,2.2805941000964e-05,3.59385687059638e-05,2.28071885921347e-05
0.0018,24,0,0,1,2.51940000076215e-05,2.51940145434628e-05,11.9403093877589
0.002,24,0,0,0,2.28059519923765e-05,2.280595210808e-05,3.59402369263038e-05
0.0022,24,0,0,0,2.39999737313772e-05,2.39999738347521e-05,2.39999880756948e-05
0.0024,24,0,1,0,2.51940133792077e-05,11.9397559397082,2.51949953317906e-05
0.0026,24,0,0,0,2.28059410263204e-05,3.59385687833559e-05,2.28071885606967e-05
0.0028,24,0,0,1,2.51940000081225e-05,2.51940145894922e-05,11.9403093620483
0.003,24,0,0,0,2.2805951991864e-05,2.28059521654071e-05,3.5940236848915e-05
0.0032,24,0,0,0,2.39999737313714e-05,2.39999738864304e-05,2.39999880240165e-05
0.0034,24,0,1,0,2.5194013403547e-05,11.9397559654176,2.5194995285763e-05
0.0036,24,0,0,0,2.28059410516715e-05,3.59385688607413e-05,2.28071885033724e-05
0.0038,24,0,0,1,2.51940000086213e-05,2.51940146355174e-05,11.94030933634
0.004,24,0,0,0,2.28059519913492e-05,2.28059522227292e-05,3.59402367715331e-05
0.0042,24,0,0,0,2.39999737313634e-05,2.39999739898844e-05,2.39999879723427e-05
0.0044,24,0,1,0,2.51940134278812e-05,11.9397559911249,2.51949952397394e-05
0.0046,24,0,0,0,2.28059410770174e-05,3.59385689381199e-05,2.28071884201617e-05
0.0048,24,0,0,1,2.51940000091176e-05,2.51940146815387e-05,11.9403093106338
0.005,24,0,0,0,2.28059519908321e-05,2.28059522800462e-05,3.5940236694158e-05
0.0052,24,0,0,0,2.3999973731353e-05,2.39999740415536e-05,2.39999879206735e-05
0.0054,24,0,1,0,2.51940134522102e-05,11.9397560168298,2.51949951937199e-05
0.0056,24,0,0,0,2.2805941102358e-05,3.59385690154917e-05,2.28071883628475e-05
0.0058,24,0,0,1,2.51940000096116e-05,2.51940147275558e-05,11.94030928493
0.006,24,0,0,0,2.28059519903128e-05,2.28059523373581e-05,3.59402366167897e-05
0.0062,24,0,0,0,2.39999737313403e-05,2.39999740932183e-05,2.39999878690088e-05
0.0064,24,0,1,0,2.51940134765341e-05,11.9397560425325,2.51949951477045e-05
0.0066,24,0,0,0,2.28059411276935e-05,3.59385690928566e-05,2.28071883055383e-05
0.0068,24,0,0,1,2.51940000101033e-05,2.5194014773569e-05,11.9403092592285
