time,Vdc,da,db,dc,Ia,Ib,Ic
0,24,1,0,0,0,0,0
0.0002,24,0,0,0,2.39999568000778e-05,2.39999568000778e-05,2.39999568000778e-05
0.0004,24,0,1,0,2.5194013330501e-05,11.9397558882764,2.51949954238293e-05
0.0006,24,0,0,0,2.28059409756031e-05,3.59385686285587e-05,2.28071886559426e-05
0.0008,24,0,0,1,2.51940000071181e-05,2.51940144974294e-05,11.9403094134718
0.001,24,1,0,0,11.3462675772675,2.39405744013892e-05,3.70748592971632e-05
0.0012,24,0,0,0,3.53461953564039e-05,2.28653536498043e-05,2.28653679424457e-05
0.0014,24,0,1,0,2.51940248204965e-05,11.939754853306,2.51949930936056e-05
0.0016,24,0,0,0,2.2805941108461e-05,3.59385676689967e-05,2.28071886730592e-05
0.0018,24,0,0,1,2.51940000201549e-05,2.51940145645899e-05,11.9403093759574
0.002,24,1,0,0,11.3462675761968,2.3940574515558e-05,3.70748591549151e-05
0.0022,24,0,0,0,3.53461953553271e-05,2.2865353730385e-05,2.2865367849134e-05
0.0024,24,0,1,0,2.51940248443709e-05,11.9397549025689,2.51949930054103e-05
0.0026,24,0,0,0,2.28059411342742e-05,3.59385678172779e-05,2.28071885891092e-05
0.0028,24,0,0,1,2.51940000088148e-05,2.51940146527807e-05,11.9403093266967
0.003,24,1,0,0,11.346267575008,2.39405746572357e-05,3.70748589759685e-05
0.0032,24,0,0,0,3.53461953541262e-05,2.28653538461912e-05,2.28653677335655e-05
0.0034,24,0,1,0,2.51940248680014e-05,11.9397549635748,2.51949928961916e-05
0.0036,24,0,0,0,2.28059411603055e-05,3.59385680009053e-05,2.28071884530845e-05
0.0038,24,0,0,1,2.51940000100013e-05,2.51940147619938e-05,11.9403092656936
0.004,24,1,0,0,11.3462675737006,2.3940574826412e-05,3.70748587603367e-05
0.0042,24,0,0,0,3.53461953527991e-05,2.28653540360498e-05,2.28653675957487e-05
0.0044,24,0,1,0,2.51940248913853e-05,11.9397550363193,2.51949927659574e-05
0.0046,24,0,0,0,2.28059411865522e-05,3.59385682198657e-05,2.28071882649951e-05
0.0048,24,0,0,1,2.51940000606176e-05,2.51940148922213e-05,11.9403091929524
0.005,24,1,0,0,11.3462675722737,2.3940575023075e-05,3.70748585080349e-05
0.0052,24,0,0,0,3.53461953513434e-05,2.28653541963905e-05,2.28653674356934e-05
0.0054,24,0,1,0,2.51940249145196e-05,11.9397551207973,2.51949926147168e-05
0.0056,24,0,0,0,2.28059412130111e-05,3.59385684741438e-05,2.28071880766351e-05
0.0058,24,0,0,1,2.51940000622489e-05,2.51940150434542e-05,11.9403091084783
0.006,24,1,0,0,11.3462675707267,2.39405752472112e-05,3.70748582190801e-05
0.0062,24,0,0,0,3.53461953497569e-05,2.2865354378983e-05,2.28653672534102e-05
0.0064,24,0,1,0,2.51940249374017e-05,11.939755217003,2.519499244248e-05
0.0066,24,0,0,0,2.28059412396793e-05,3.59385687637224e-05,2.28071878621256e-05
0.0068,24,0,0,1,2.51940000641002e-05,2.51940152156822e-05,11.9403090122769
0.007,24,1,0,0,11.3462675690589,2.39405754988061e-05,3.70748578934914e-05
0.0072,24,0,0,0,3.53461953480373e-05,2.28653545838154e-05,2.28653670489114e-05
0.0074,24,0,1,0,2.51940249600288e-05,11.9397553249302,2.51949922492582e-05
0.0076,24,0,0,0,2.28059412665537e-05,3.59385690885826e-05,2.28071876214808e-05
0.0078,24,0,0,1,2.51940000661697e-05,2.5194015408894e-05,11.9403089043547
0.008,24,1,0,0,11.3462675672696,2.39405757778432e-05,3.70748575312898e-05
0.0082,24,0,0,0,3.53461953461825e-05,2.28653547590942e-05,2.286536682221e-05
0.0084,24,0,1,0,2.51940249823981e-05,11.9397554445718,2.51949920350639e-05
0.0086,24,0,0,0,2.28059412936315e-05,3.59385694487035e-05,2.28071873547161e-05
0.0088,24,0,0,1,2.51940000192493e-05,2.51940156230772e-05,11.9403087847184
0.009,24,1,0,0,11.3462675653581,2.39405760843048e-05,3.7074857132498e-05
0.0092,24,0,0,0,3.534619534419e-05,2.28653550083659e-05,2.28653665733205e-05
0.0094,24,0,1,0,2.5194025004507e-05,11.9397555759207,2.51949917999107e-05
0.0096,24,0,0,0,2.28059413209095e-05,3.59385698440623e-05,2.28071871654139e-05
0.0098,24,0,0,1,2.51940000217502e-05,2.51940158582184e-05,11.9403086533757
0.01,24,1,0,0,11.346267563324,2.39405764181719e-05,3.70748566971411e-05
0.0102,24,0,0,0,3.53461953420579e-05,2.28653552798347e-05,2.28653663022585e-05
0.0104,24,0,1,0,2.51940250263526e-05,11.9397557189681,2.5194991543813e-05
0.0106,24,0,0,0,2.28059413483846e-05,3.59385702746347e-05,2.28071867428959e-05
0.0108,24,0,0,1,2.51940000244642e-05,2.51940161143028e-05,11.9403085103347
0.011,24,1,0,0,11.3462675611662,2.39405767794239e-05,3.70748562252456e-05
0.0112,24,0,0,0,3.53461953397837e-05,2.28653555734841e-05,2.28653660090406e-05
0.0114,24,0,1,0,2.51940250479325e-05,11.9397558737058,2.51949912667867e-05
0.0116,24,0,0,0,2.2805941376054e-05,3.59385707403938e-05,2.28071865014437e-05
0.0118,24,0,0,1,2.51940000273896e-05,2.51940163913148e-05,11.9403083556042
0.012,24,1,0,0,11.3462675588845,2.39405771680386e-05,3.70748557168405e-05
0.0122,24,0,0,0,3.53461953373654e-05,2.28653558892961e-05,2.28653656936848e-05
0.0124,24,0,1,0,2.51940250692438e-05,11.939756040124,2.51949909688486e-05
0.0126,24,0,0,0,2.28059414039145e-05,3.59385712413117e-05,2.28071860268162e-05
0.0128,24,0,0,1,2.51940000305247e-05,2.51940166892375e-05,11.9403081891936
0.013,24,1,0,0,11.3462675564779,2.39405775839926e-05,3.70748551719561e-05
0.0132,24,0,0,0,3.53461953348008e-05,2.2865356227252e-05,2.28653653562101e-05
0.0134,24,0,1,0,2.51940250902839e-05,11.9397562182129,2.51949906500167e-05
0.0136,24,0,0,0,2.28059414319632e-05,3.59385717773579e-05,2.28071857332978e-05
0.0138,24,0,0,1,2.51940001322807e-05,2.51940170080529e-05,11.9403080111128
0.014,24,1,0,0,11.3462675539461,2.3940578027261e-05,3.70748545906254e-05
0.0142,24,0,0,0,3.53461953320877e-05,2.28653565873316e-05,2.28653649966368e-05
0.0144,24,0,1,0,2.51940251110502e-05,11.9397564079616,2.51949903103099e-05
0.0146,24,0,0,0,2.28059414601969e-05,3.59385723485006e-05,2.28071852066503e-05
0.0148,24,0,0,1,2.51940000374169e-05,2.51940173477421e-05,11.9403078213728
0.015,24,1,0,0,11.3462675512881,2.39405784978173e-05,3.70748539728823e-05
0.0152,24,0,0,0,3.5346195329224e-05,2.28653569695136e-05,2.28653646149863e-05
0.0154,24,0,1,0,2.51940251315402e-05,11.9397566093592,2.51949899497486e-05
0.0156,24,0,0,0,2.28059414886126e-05,3.59385729547057e-05,2.28071848611607e-05
0.0158,24,0,0,1,2.51940000411706e-05,2.51940177082849e-05,11.9403076199845
0.016,24,1,0,0,11.3462675485037,2.39405789956338e-05,3.70748533187638e-05
0.0162,24,0,0,0,3.53461953262076e-05,2.28653573737754e-05,2.28653642112812e-05
0.0164,24,0,1,0,2.51940251517511e-05,11.9397568223936,2.51949895683538e-05
0.0166,24,0,0,0,2.28059415172073e-05,3.59385735959378e-05,2.28071842825936e-05
0.0168,24,0,0,1,2.51940002419529e-05,2.51940180896599e-05,11.9403074069597
0.017,24,1,0,0,11.346267545592,2.39405795206812e-05,3.70748526283079e-05
0.0172,24,0,0,0,3.53461953230363e-05,2.28653578000937e-05,2.28653637855452e-05
0.0174,24,0,1,0,2.51940251716804e-05,11.939757047052,2.5194989166148e-05
0.0176,24,0,0,0,2.28059415459779e-05,3.5938574272159e-05,2.28071837816732e-05
0.0178,24,0,0,1,2.51940000492843e-05,2.51940184918449e-05,11.9403071823116
0.018,24,1,0,0,11.3462675425524,2.39405800729287e-05,3.70748519015547e-05
0.0182,24,0,0,0,3.5346195319708e-05,2.28653582484434e-05,2.28653633378032e-05
0.0184,24,0,1,0,2.51940251913257e-05,11.9397572833222,2.51949887431546e-05
0.0186,24,0,0,0,2.28059415749214e-05,3.59385749833298e-05,2.28071834619941e-05
0.0188,24,0,0,1,2.51940000536408e-05,2.51940189148164e-05,11.9403069460525
0.019,24,1,0,0,11.3462675393848,2.39405806523442e-05,3.7074851138547e-05
0.0192,24,0,0,0,3.53461953162206e-05,2.28653589259201e-05,2.28653628680814e-05
0.0194,24,0,1,0,2.51940252106843e-05,11.9397575311896,2.51949882993983e-05
0.0196,24,0,0,0,2.28059416040345e-05,3.59385757294094e-05,2.28071827021943e-05
0.0198,24,0,0,1,2.51940000581947e-05,2.51940193585498e-05,11.9403066981964
0.02,24,1,0,0,11.346267536088,2.39405812588942e-05,3.70748503393284e-05
0.0202,24,0,0,0,3.53461953125722e-05,2.28653594182538e-05,2.28653623764069e-05
0.0204,24,0,1,0,2.51940252297538e-05,11.9397577906402,2.51949878349045e-05
0.0206,24,0,0,0,2.28059416333145e-05,3.59385765103541e-05,2.28071821236985e-05
0.0208,24,0,0,1,2.51940002597702e-05,2.51940198230195e-05,11.9403064387575
0.021,24,1,0,0,11.3462675326618,2.39405818925436e-05,3.7074849503945e-05
0.0212,24,0,0,0,3.53461953087609e-05,2.28653597254164e-05,2.2865361862808e-05
0.0214,24,0,1,0,2.51940252485317e-05,11.9397580616589,2.51949873497002e-05
0.0216,24,0,0,0,2.28059416627581e-05,3.59385773261192e-05,2.28071815194089e-05
0.0218,24,0,0,1,2.51940000678878e-05,2.51940203081987e-05,11.9403061677513
0.022,24,1,0,0,11.3462675291053,2.39405825532559e-05,3.70748486324444e-05
0.0222,24,0,0,0,3.53461953047844e-05,2.2865360261621e-05,2.28653613273144e-05
0.0224,24,0,1,0,2.51940252670155e-05,11.9397583442307,2.51949868438131e-05
0.0226,24,0,0,0,2.28059416923623e-05,3.59385781766576e-05,2.28071810964913e-05
0.0228,24,0,0,1,2.51940000730234e-05,2.51940208140597e-05,11.9403058851927
0.023,24,1,0,0,11.3462675254187,2.39405832409934e-05,3.70748477248774e-05
0.0232,24,0,0,0,3.53461953006405e-05,2.28653610268372e-05,2.28653607699569e-05
0.0234,24,0,1,0,2.51940252852028e-05,11.9397586383388,2.51949863172723e-05
0.0236,24,0,0,0,2.2805941722124e-05,3.59385790619213e-05,2.28071802335889e-05
0.0238,24,0,0,1,2.51940000783494e-05,2.51940213405733e-05,11.9403055910981
0.024,24,1,0,0,11.3462675216007,2.39405839557167e-05,3.70748467812948e-05
0.0242,24,0,0,0,3.53461952963277e-05,2.28653616067904e-05,2.28653601907672e-05
0.0244,24,0,1,0,2.51940253030913e-05,11.9397589439667,2.51949857701076e-05
0.0246,24,0,0,0,2.28059417520402e-05,3.59385799818591e-05,2.28071795521319e-05
0.0248,24,0,0,1,2.51940002806899e-05,2.51940218877097e-05,11.9403052854841
0.025,24,1,0,0,11.3462675176512,2.3940584697385e-05,3.70748458017505e-05
0.0252,24,0,0,0,3.53461952918441e-05,2.28653620014476e-05,2.28653595897783e-05
0.0254,24,0,1,0,2.51940253206784e-05,11.9397592610967,2.51949852023502e-05
0.0256,24,0,0,0,2.28059417821077e-05,3.59385809364191e-05,2.28071788450281e-05
0.0258,24,0,0,1,2.51940000895653e-05,2.51940224554377e-05,11.9403049683686
0.026,24,1,0,0,11.3462675135694,2.39405854659563e-05,3.70748447862999e-05
0.0262,24,0,0,0,3.53461952871873e-05,2.28653626250176e-05,2.28653589670244e-05
0.0264,24,0,1,0,2.51940253379619e-05,11.9397595897115,2.51949846140324e-05
0.0266,24,0,0,0,2.28059418123237e-05,3.59385819255468e-05,2.28071783194485e-05
0.0268,24,0,0,1,2.51940000954517e-05,2.5194023043725e-05,11.9403046397691
0.027,24,1,0,0,11.3462675093553,2.39405862613869e-05,3.70748437350011e-05
0.0272,24,0,0,0,3.53461952823555e-05,2.28653634774652e-05,2.28653583225409e-05
0.0274,24,0,1,0,2.51940253549394e-05,11.9397599297919,2.51949840051875e-05
0.0276,24,0,0,0,2.28059418426848e-05,3.59385829491866e-05,2.28071775611728e-05
0.0278,24,0,0,1,2.51940002983473e-05,2.51940236525385e-05,11.9403042997041
0.028,24,1,0,0,11.346267505008,2.39405870836319e-05,3.70748426479128e-05
0.0282,24,0,0,0,3.53461952773471e-05,2.28653641445113e-05,2.28653576563641e-05
0.0284,24,0,1,0,2.51940253716087e-05,11.9397602813189,2.51949833758497e-05
0.0286,24,0,0,0,2.28059418731881e-05,3.59385840072807e-05,2.28071765702438e-05
0.0288,24,0,0,1,2.51940003045984e-05,2.51940242818437e-05,11.9403039481933
0.029,24,1,0,0,11.3462675005271,2.39405879326449e-05,3.70748415250963e-05
0.0292,24,0,0,0,3.53461952721603e-05,2.28653646261182e-05,2.28653569685318e-05
0.0294,24,0,1,0,2.51940253879673e-05,11.9397606442725,2.51949827260546e-05
0.0296,24,0,0,0,2.28059419038307e-05,3.59385850997692e-05,2.28071757609675e-05
0.0298,24,0,0,1,2.51940001142033e-05,2.51940249316052e-05,11.9403035852564
0.03,24,1,0,0,11.346267495912,2.3940588808378e-05,3.70748403666145e-05
0.0302,24,0,0,0,3.53461952667928e-05,2.28653653364901e-05,2.28653562590825e-05
