time,Vdc,da,db,dc,Ia,Ib,Ic
0,24,1,0,0,0,0,0
0.0002,24,0,0,0,2.39999565600787e-05,2.39999568000777e-05,2.39999568000777e-05
0.0004,24,0,1,0,2.51940130785611e-05,11.9397558882764,2.51949954238293e-05
0.0006,24,0,0,0,2.28059407475438e-05,3.59385686285587e-05,2.28071886559426e-05
0.0008,24,0,0,1,2.51939997551783e-05,2.51940144974294e-05,11.9403094134718
0.001,24,1,0,0,11.2900979352431,2.39349574477074e-05,3.70692423437776e-05
0.0012,24,0,0,0,3.52900254760658e-05,2.28709705925731e-05,2.28709848853929e-05
0.0014,24,0,1,0,2.51940245117957e-05,11.939754858557,2.51949931049136e-05
0.0016,24,0,0,0,2.28059408798696e-05,3.59385676741303e-05,2.28071886726586e-05
0.0018,24,0,0,1,2.51939997681531e-05,2.51940145644853e-05,11.9403093760158
0.002,24,1,0,0,11.2900979341817,2.3934957561582e-05,3.70692422018641e-05
0.0022,24,0,0,0,3.52900254749983e-05,2.28709706729594e-05,2.28709847922737e-05
0.0024,24,0,1,0,2.51940245356725e-05,11.9397549077033,2.51949930169271e-05
0.0026,24,0,0,0,2.28059409056805e-05,3.59385678220604e-05,2.28071885889685e-05
0.0028,24,0,0,1,2.51939997568717e-05,2.51940146524674e-05,11.9403093268717
0.003,24,1,0,0,11.2900979330034,2.39349577028229e-05,3.70692420234405e-05
0.0032,24,0,0,0,3.52900254738079e-05,2.28709707884675e-05,2.28709846770013e-05
0.0034,24,0,1,0,2.51940245593065e-05,11.9397549685345,2.51949929080212e-05
0.0036,24,0,0,0,2.28059409317085e-05,3.5938568005162e-05,2.28071884533334e-05
0.0038,24,0,0,1,2.51939997580547e-05,2.51940147613677e-05,11.9403092660433
0.004,24,1,0,0,11.2900979317076,2.39349578714197e-05,3.70692418085199e-05
0.0042,24,0,0,0,3.52900254724925e-05,2.28709709779243e-05,2.2870984539584e-05
0.0044,24,0,1,0,2.5194024582695e-05,11.9397550410462,2.51949927782038e-05
0.0046,24,0,0,0,2.28059409579507e-05,3.59385682234216e-05,2.28071882657632e-05
0.0048,24,0,0,1,2.51939998084229e-05,2.51940148911785e-05,11.9403091935349
