time,Vdc,da,db,dc,Ia,Ib,Ic
0,24,1,0,0,2.39999877600062e-05,0,0
0.0002,24,0,0,0,2.39999568001642e-05,2.39999568000734e-05,2.39999568000734e-05
0.0004,24,0,1,0,2.51940109483825e-05,11.9397559476759,2.51949955491857e-05
0.0006,24,0,0,0,2.28059445517729e-05,3.59385684491603e-05,2.28071884111902e-05
0.0008,24,0,0,1,2.51939964369632e-05,2.51940147481189e-05,11.940309532277
0.001,24,1,0,0,11.3462919330694,2.39405743170437e-05,3.70748593434909e-05
0.0012,24,0,0,0,3.53461731333904e-05,2.28653547374943e-05,2.28653690301252e-05
0.0014,24,0,1,0,2.51940337280489e-05,11.939754348281,2.51949920277927e-05
0.0016,24,0,0,0,2.28059447411136e-05,3.593856692523e-05,2.28071884846796e-05
0.0018,24,0,0,1,2.51939964500009e-05,2.51940148153307e-05,11.9403094947337
0.002,24,1,0,0,11.3462919319983,2.39405744312804e-05,3.70748592011522e-05
0.0022,24,0,0,0,3.53461731323132e-05,2.286535481813e-05,2.28653689367586e-05
0.0024,24,0,1,0,2.51940337519227e-05,11.9397543975729,2.51949919395455e-05
0.0026,24,0,0,0,2.28059447669272e-05,3.59385670735984e-05,2.2807188400665e-05
0.0028,24,0,0,1,2.51939964386614e-05,2.51940149035734e-05,11.940309445444
0.003,24,1,0,0,11.3462919308093,2.39405745730261e-05,3.7074859022115e-05
0.0032,24,0,0,0,3.53461731311121e-05,2.28653549339913e-05,2.28653688211351e-05
0.0034,24,0,1,0,2.51940337755526e-05,11.9397544586078,2.51949918302748e-05
0.0036,24,0,0,0,2.28059447929592e-05,3.59385672573132e-05,2.28071882645757e-05
0.0038,24,0,0,1,2.51939964398485e-05,2.51940150128385e-05,11.9403093844119
0.004,24,1,0,0,11.3462919295015,2.39405747422703e-05,3.70748588063926e-05
0.0042,24,0,0,0,3.53461731297846e-05,2.28653551239049e-05,2.28653686832633e-05
0.0044,24,0,1,0,2.51940337989358e-05,11.9397545313814,2.51949916999887e-05
0.0046,24,0,0,0,2.28059448192063e-05,3.5938567476361e-05,2.28071880764216e-05
0.0048,24,0,0,1,2.51939964904654e-05,2.51940151431179e-05,11.9403093116416
0.005,24,1,0,0,11.3462919280743,2.39405749390012e-05,3.70748585540001e-05
0.0052,24,0,0,0,3.53461731283287e-05,2.28653552843007e-05,2.28653685231529e-05
0.0054,24,0,1,0,2.51940338220695e-05,11.9397546158883,2.51949915486961e-05
0.0056,24,0,0,0,2.28059448456657e-05,3.59385677307264e-05,2.28071878879968e-05
0.0058,24,0,0,1,2.51939964920974e-05,2.51940152944027e-05,11.9403092271385
0.006,24,1,0,0,11.3462919265271,2.39405751632055e-05,3.70748582649547e-05
0.0062,24,0,0,0,3.53461731267418e-05,2.28653554669483e-05,2.28653683408148e-05
0.0064,24,0,1,0,2.51940338449509e-05,11.9397547121231,2.51949913764073e-05
0.0066,24,0,0,0,2.28059448723344e-05,3.59385680203924e-05,2.28071876734226e-05
0.0068,24,0,0,1,2.51939964939492e-05,2.51940154666827e-05,11.9403091309082
0.007,24,1,0,0,11.346291924859,2.39405754148683e-05,3.70748579392753e-05
0.0072,24,0,0,0,3.5346173125022e-05,2.28653556718357e-05,2.28653681362609e-05
0.0074,24,0,1,0,2.51940338675773e-05,11.9397548200793,2.51949911831336e-05
0.0076,24,0,0,0,2.28059448992094e-05,3.59385683453399e-05,2.28071874327131e-05
0.0078,24,0,0,1,2.51939964960193e-05,2.51940156599464e-05,11.9403090229569
0.008,24,1,0,0,11.3462919230694,2.39405756939733e-05,3.7074857576983e-05
0.0082,24,0,0,0,3.53461731231668e-05,2.28653558471696e-05,2.28653679095045e-05
0.0084,24,0,1,0,2.5194033889946e-05,11.9397549397499,2.51949909688874e-05
0.0086,24,0,0,0,2.28059449262876e-05,3.59385687055482e-05,2.28071871658837e-05
0.0088,24,0,0,1,2.51939964490994e-05,2.51940158741816e-05,11.9403089032916
0.009,24,1,0,0,11.3462919211576,2.3940576000503e-05,3.70748571781005e-05
0.0092,24,0,0,0,3.53461731211741e-05,2.28653560964964e-05,2.286536766056e-05
0.0094,24,0,1,0,2.51940339120542e-05,11.9397550711278,2.51949907336821e-05
0.0096,24,0,0,0,2.28059449535661e-05,3.59385691009944e-05,2.28071869765168e-05
0.0098,24,0,0,1,2.51939964516008e-05,2.51940161093747e-05,11.9403087719198
0.01,24,1,0,0,11.3462919191232,2.39405763344381e-05,3.7074856742653e-05
0.0102,24,0,0,0,3.53461731190416e-05,2.28653563680203e-05,2.28653673894429e-05
0.0104,24,0,1,0,2.51940339338992e-05,11.9397552142043,2.51949904775325e-05
0.0106,24,0,0,0,2.28059449810417e-05,3.59385695316541e-05,2.28071865539341e-05
0.0108,24,0,0,1,2.51939964543154e-05,2.51940163655111e-05,11.9403086288498
0.011,24,1,0,0,11.3462919169651,2.3940576695758e-05,3.70748562706668e-05
0.0112,24,0,0,0,3.53461731167671e-05,2.28653566617247e-05,2.286536709617e-05
0.0114,24,0,1,0,2.51940339554783e-05,11.939755368971,2.51949902004543e-05
0.0116,24,0,0,0,2.28059450087116e-05,3.59385699975005e-05,2.28071863124171e-05
0.0118,24,0,0,1,2.51939964572414e-05,2.51940166425751e-05,11.9403084740903
0.012,24,1,0,0,11.3462919146831,2.39405770844406e-05,3.70748557621711e-05
0.0122,24,0,0,0,3.53461731143485e-05,2.28653569775919e-05,2.28653667807592e-05
0.0124,24,0,1,0,2.51940339767889e-05,11.9397555354181,2.51949899024643e-05
0.0126,24,0,0,0,2.28059450365726e-05,3.59385704985058e-05,2.2807185837725e-05
0.0128,24,0,0,1,2.5193996460377e-05,2.51940169405497e-05,11.9403083076506
0.013,24,1,0,0,11.3462919122762,2.39405775004626e-05,3.7074855217196e-05
0.0132,24,0,0,0,3.53461731117836e-05,2.28653573156028e-05,2.28653664432295e-05
0.0134,24,0,1,0,2.51940339978284e-05,11.9397557135361,2.51949895835805e-05
0.0136,24,0,0,0,2.28059450646217e-05,3.59385710346392e-05,2.28071855441419e-05
0.0138,24,0,0,1,2.51939965621338e-05,2.51940172594171e-05,11.9403081295408
0.014,24,1,0,0,11.3462919097441,2.39405779437989e-05,3.70748546357747e-05
0.0142,24,0,0,0,3.53461731090702e-05,2.28653576757374e-05,2.28653660836013e-05
0.0144,24,0,1,0,2.5194034018594e-05,11.9397559033138,2.51949892438218e-05
0.0146,24,0,0,0,2.28059450928559e-05,3.59385716058693e-05,2.28071850174298e-05
0.0148,24,0,0,1,2.51939964672703e-05,2.51940175991582e-05,11.9403079397718
0.015,24,1,0,0,11.3462919070858,2.39405784144231e-05,3.7074854017941e-05
0.0152,24,0,0,0,3.53461731062062e-05,2.28653580579744e-05,2.28653657018958e-05
0.0154,24,0,1,0,2.51940340390833e-05,11.9397561047404,2.51949888832086e-05
0.0156,24,0,0,0,2.28059451212721e-05,3.59385722121616e-05,2.28071846718755e-05
0.0158,24,0,0,1,2.51939964710246e-05,2.51940179597529e-05,11.9403077383546
0.016,24,1,0,0,11.3462919043011,2.39405789123074e-05,3.7074853363732e-05
0.0162,24,0,0,0,3.53461731031894e-05,2.28653584622913e-05,2.28653652981358e-05
0.0164,24,0,1,0,2.51940340592935e-05,11.9397563178037,2.51949885017619e-05
0.0166,24,0,0,0,2.28059451498672e-05,3.59385728534809e-05,2.28071840932438e-05
0.0168,24,0,0,1,2.51939966718078e-05,2.51940183411798e-05,11.9403075253008
0.017,24,1,0,0,11.3462919013892,2.39405794374226e-05,3.70748526731856e-05
0.0172,24,0,0,0,3.53461731000177e-05,2.28653588886645e-05,2.28653648723448e-05
0.0174,24,0,1,0,2.51940340792221e-05,11.9397565424911,2.51949880995043e-05
0.0176,24,0,0,0,2.28059451786382e-05,3.59385735297893e-05,2.28071835922588e-05
0.0178,24,0,0,1,2.51939964791393e-05,2.51940187434166e-05,11.9403073006237
0.018,24,1,0,0,11.3462918983492,2.39405799897378e-05,3.70748519463419e-05
0.0182,24,0,0,0,3.53461730966891e-05,2.28653593370692e-05,2.2865364424548e-05
0.0184,24,0,1,0,2.51940340988667e-05,11.9397567787902,2.51949876764591e-05
0.0186,24,0,0,0,2.28059452075821e-05,3.59385742410471e-05,2.28071832725152e-05
0.0188,24,0,0,1,2.51939964834964e-05,2.51940191664399e-05,11.9403070643357
0.019,24,1,0,0,11.3462918951813,2.39405805692211e-05,3.70748511832439e-05
0.0192,24,0,0,0,3.53461730932013e-05,2.28653600146008e-05,2.28653639547713e-05
0.0194,24,0,1,0,2.51940341182246e-05,11.9397570266865,2.5194987232651e-05
0.0196,24,0,0,0,2.28059452366957e-05,3.59385749872138e-05,2.2807182512651e-05
0.0198,24,0,0,1,2.51939964880509e-05,2.51940196102252e-05,11.9403068164507
0.02,24,1,0,0,11.3462918918842,2.39405811758388e-05,3.70748503839349e-05
0.0202,24,0,0,0,3.53461730895526e-05,2.28653605069894e-05,2.28653634630419e-05
0.0204,24,0,1,0,2.51940341372933e-05,11.9397572861661,2.51949867681055e-05
0.0206,24,0,0,0,2.28059452659761e-05,3.59385757682455e-05,2.28071819340906e-05
0.0208,24,0,0,1,2.51939966896274e-05,2.51940200747466e-05,11.9403065569828
0.021,24,1,0,0,11.3462918884577,2.39405818095558e-05,3.70748495484612e-05
0.0212,24,0,0,0,3.5346173085741e-05,2.28653608142068e-05,2.28653629493883e-05
0.0214,24,0,1,0,2.51940341560704e-05,11.9397575572136,2.51949862828495e-05
0.0216,24,0,0,0,2.28059452954201e-05,3.59385765840975e-05,2.28071813297367e-05
0.0218,24,0,0,1,2.5193996497745e-05,2.51940205599776e-05,11.9403062859477
0.022,24,1,0,0,11.3462918849009,2.39405824703358e-05,3.70748486768705e-05
0.0222,24,0,0,0,3.53461730817641e-05,2.28653613504663e-05,2.286536241384e-05
0.0224,24,0,1,0,2.51940341745536e-05,11.9397578398142,2.51949857769108e-05
0.0226,24,0,0,0,2.28059453250247e-05,3.59385774347228e-05,2.28071809067547e-05
0.0228,24,0,0,1,2.51939965028812e-05,2.51940210658902e-05,11.9403060033602
0.023,24,1,0,0,11.346291881214,2.39405831581408e-05,3.70748477692133e-05
0.0232,24,0,0,0,3.53461730776199e-05,2.28653621157372e-05,2.28653618564277e-05
0.0234,24,0,1,0,2.51940341927402e-05,11.9397581339512,2.51949852503183e-05
0.0236,24,0,0,0,2.28059453547868e-05,3.59385783200733e-05,2.2807180043788e-05
0.0238,24,0,0,1,2.51939965082077e-05,2.51940215924555e-05,11.9403057092368
0.024,24,1,0,0,11.3462918773957,2.39405838729316e-05,3.70748468255406e-05
0.0242,24,0,0,0,3.53461730733067e-05,2.28653626957451e-05,2.28653612771833e-05
0.0244,24,0,1,0,2.51940342106278e-05,11.9397584396079,2.5194984703102e-05
0.0246,24,0,0,0,2.28059453847033e-05,3.59385792400979e-05,2.28071793622668e-05
0.0248,24,0,0,1,2.51939967105492e-05,2.51940221396434e-05,11.9403054035939
0.025,24,1,0,0,11.3462918734459,2.39405846146673e-05,3.70748458459064e-05
0.0252,24,0,0,0,3.53461730688228e-05,2.2865363090457e-05,2.28653606761398e-05
0.0254,24,0,1,0,2.51940342282142e-05,11.9397587567667,2.51949841352931e-05
0.0256,24,0,0,0,2.28059454147713e-05,3.59385801947445e-05,2.28071786550988e-05
0.0258,24,0,0,1,2.51939965194247e-05,2.5194022707423e-05,11.9403050864497
0.026,24,1,0,0,11.3462918693637,2.3940585383306e-05,3.70748448303659e-05
0.0262,24,0,0,0,3.53461730641656e-05,2.28653637140816e-05,2.28653600533314e-05
0.0264,24,0,1,0,2.5194034245497e-05,11.9397590854102,2.51949835469239e-05
0.0266,24,0,0,0,2.28059454449876e-05,3.59385811839588e-05,2.2807178129455e-05
0.0268,24,0,0,1,2.51939965253116e-05,2.51940232957619e-05,11.9403047578214
0.027,24,1,0,0,11.3462918651494,2.39405861788039e-05,3.70748437789773e-05
0.0272,24,0,0,0,3.53461730593334e-05,2.28653645665838e-05,2.28653594087934e-05
0.0274,24,0,1,0,2.51940342624737e-05,11.9397594255194,2.51949829380275e-05
0.0276,24,0,0,0,2.28059454753491e-05,3.59385822076851e-05,2.28071773711153e-05
0.0278,24,0,0,1,2.51939967282081e-05,2.51940239046268e-05,11.9403044177277
0.028,24,1,0,0,11.3462918608017,2.39405870011162e-05,3.70748426917992e-05
0.0282,24,0,0,0,3.53461730543247e-05,2.28653652336843e-05,2.28653587425622e-05
0.0284,24,0,1,0,2.51940342791422e-05,11.9397597770751,2.51949823086384e-05
0.0286,24,0,0,0,2.28059455058528e-05,3.59385832658656e-05,2.28071763801223e-05
0.0288,24,0,0,1,2.51939967344597e-05,2.51940245339834e-05,11.9403040661881
0.029,24,1,0,0,11.3462918563205,2.39405878501963e-05,3.7074841568893e-05
