time,Vdc,da,db,dc,Ia,Ib,Ic
0,24,0,0,0,-1.48029577840173e-21,7.40147889200865e-22,7.40147889200865e-22
0.0002,24,0,0,0,2.39999568031032e-05,2.39994067617501e-05,2.40005068384054e-05
0.0004,24,0,1,0,2.51940682003117e-05,11.9369905143111,2.51999463414912e-05
0.0006,24,0,0,0,2.28058548510804e-05,3.59296948128101e-05,2.28139373237023e-05
0.0008,24,0,0,1,2.51939788054972e-05,2.5192056627346e-05,11.9414030263826
0.001,24,0,0,0,2.28060068558356e-05,2.28029308158931e-05,3.59440787957206e-05
0.0012,24,0,0,0,2.39999744799622e-05,2.39966755708989e-05,2.40032863530001e-05
0.0014,24,0,1,0,2.51940975765565e-05,11.9356235979915,2.52023936225446e-05
0.0016,24,0,0,0,2.28058311807051e-05,3.59255803929899e-05,2.28169850307867e-05
0.0018,24,0,0,1,2.51939537798415e-05,2.51896100716778e-05,11.9427696255734
0.002,24,0,0,0,2.28060362009079e-05,2.27998836536372e-05,3.59481922414859e-05
0.0022,24,0,0,0,2.399997727211e-05,2.39939286991197e-05,2.40060332126131e-05
0.0024,24,0,1,0,2.51941299408395e-05,11.9342573164822,2.5204839804455e-05
0.0026,24,0,0,0,2.28058108264093e-05,3.59214678798934e-05,2.28200313194351e-05
0.0028,24,0,0,1,2.51939314535079e-05,2.51871646896509e-05,11.9441355900937
0.003,24,0,0,0,2.28060685233384e-05,2.27968378711497e-05,3.59523037728246e-05
0.0032,24,0,0,0,2.39999832408956e-05,2.39911831159691e-05,2.40087787965376e-05
0.0034,24,0,1,0,2.51941664223253e-05,11.9328916694982,2.520728488772e-05
0.0036,24,0,0,0,2.28057949169799e-05,3.5917357272658e-05,2.28230761320745e-05
0.0038,24,0,0,1,2.51939129552398e-05,2.51847204806924e-05,11.9455009202342
0.004,24,0,0,0,2.28061049515302e-05,2.27937934678321e-05,3.59564133906164e-05
0.0042,24,0,0,0,2.39999935145258e-05,2.39884388596666e-05,2.40115231053583e-05
0.0044,24,0,1,0,2.51942081484161e-05,11.9315266567488,2.52097288728081e-05
0.0046,24,0,0,0,2.28057845794553e-05,3.59132485704151e-05,2.28261194693928e-05
0.0048,24,0,0,1,2.51938994120318e-05,2.51822774442296e-05,11.9468656162859
0.005,24,0,0,0,2.28061466121383e-05,2.27907504430858e-05,3.59605210957411e-05
0.0052,24,0,0,0,2.40000092194592e-05,2.39856958261323e-05,2.40142661396598e-05
0.0054,24,0,1,0,2.51942562447669e-05,11.930162277943,2.52121717601877e-05
0.0056,24,0,0,0,2.28057809391266e-05,3.59091417722968e-05,2.28291613838951e-05
0.0058,24,0,0,1,2.51938919491319e-05,2.51798355796902e-05,11.9482296785394
0.006,24,0,0,0,2.2806194630071e-05,2.27877087963129e-05,3.59646268890778e-05
0.0062,24,0,0,0,2.40000314804082e-05,2.39829540665327e-05,2.40170079000261e-05
0.0064,24,0,1,0,2.51943118352869e-05,11.9287985327904,2.52146135503272e-05
0.0066,24,0,0,0,2.280578511954e-05,3.59050368774355e-05,2.28322018503749e-05
0.0068,24,0,0,1,2.51938916900431e-05,2.51773948865021e-05,11.9495931072852
0.007,24,0,0,0,2.28062501284925e-05,2.27846685269154e-05,3.59687307715051e-05
0.0072,24,0,0,0,2.40000614203408e-05,2.39802135802838e-05,2.40197483870414e-05
0.0074,24,0,1,0,2.5194376042142e-05,11.9274354210004,2.52170542436947e-05
0.0076,24,0,0,0,2.28057982424985e-05,3.59009338849638e-05,2.28352408695282e-05
0.0078,24,0,0,1,2.51938997565258e-05,2.51749553640935e-05,11.9509559028137
0.008,24,0,0,0,2.28063142288246e-05,2.27816296342957e-05,3.59728327439014e-05
0.0082,24,0,0,0,2.40001001604832e-05,2.3977474315081e-05,2.40224876012893e-05
0.0084,24,0,1,0,2.51944499857569e-05,11.9260729422828,2.5219493840758e-05
0.0086,24,0,0,0,2.2805821428064e-05,3.5896832794015e-05,2.28382784420506e-05
0.0088,24,0,0,1,2.51939172685998e-05,2.5172517011893e-05,11.9523180654152
0.009,24,0,0,0,2.28063880507485e-05,2.27785921178563e-05,3.59769328071446e-05
0.0092,24,0,0,0,2.4000148820321e-05,2.39747363737886e-05,2.40252255433531e-05
0.0094,24,0,1,0,2.51945347848165e-05,11.9247110963475,2.52219323419849e-05
0.0096,24,0,0,0,2.28058557945595e-05,3.58927336037224e-05,2.28413146723188e-05
0.0098,24,0,0,1,2.51939453445461e-05,2.51700798293293e-05,11.9536795953798
0.01,24,0,0,0,2.28064727122073e-05,2.27755559770002e-05,3.59810309621124e-05
0.0102,24,0,0,0,2.40002085176018e-05,2.39719997040968e-05,2.40279622138161e-05
0.0104,24,0,1,0,2.51946315562684e-05,11.9233498829041,2.52243697478428e-05
0.0106,24,0,0,0,2.28059024585707e-05,3.58886363132203e-05,2.28443492499834e-05
0.0108,24,0,0,1,2.51939851009089e-05,2.51676438158317e-05,11.9550404929974
0.011,24,0,0,0,2.28065693294076e-05,2.27725212111303e-05,3.59851272096817e-05
0.0112,24,0,0,0,2.40002803683372e-05,2.39692643054225e-05,2.40306976132611e-05
