time,Vdc,da,db,dc,Ia,Ib,Ic
0,24,0,0,0,-1.48029577840173e-21,7.40147889200865e-22,7.40147889200865e-22
0.0002,24,0,0,0,2.39999568198364e-05,2.39985511465737e-05,2.40013624535818e-05
0.0004,24,0,1,0,2.51940852521635e-05,11.9361393514576,2.52014702303852e-05
0.0006,24,0,0,0,2.28057880790766e-05,3.59262771916057e-05,2.28167416623547e-05
0.0008,24,0,0,1,2.5193946238991e-05,2.51890093959092e-05,11.9431051551667
0.001,24,0,0,0,2.28060931834495e-05,2.27982289190542e-05,3.59500577938568e-05
0.0012,24,0,0,0,2.39999771593289e-05,2.39915430663074e-05,2.40084188583849e-05
0.0014,24,0,1,0,2.51941615280806e-05,11.9326451197919,2.52077263194611e-05
0.0016,24,0,0,0,2.28057300060258e-05,3.59157595321444e-05,2.28245323490298e-05
0.0018,24,0,0,1,2.51938864573432e-05,2.51827554889605e-05,11.9465985761525
0.002,24,0,0,0,2.28061741250174e-05,2.27904392985712e-05,3.59605729211787e-05
0.0022,24,0,0,0,2.39999915048685e-05,2.3984521291333e-05,2.40154406224011e-05
0.0024,24,0,1,0,2.51942518980779e-05,11.9291525108885,2.52139797477475e-05
0.0026,24,0,0,0,2.28056880717409e-05,3.59052467306535e-05,2.28323192186177e-05
0.0028,24,0,0,1,2.51938418302324e-05,2.51765047309544e-05,11.9500903747424
0.003,24,0,0,0,2.28062721373912e-05,2.27826530645005e-05,3.59710831384604e-05
0.0032,24,0,0,0,2.40000241735077e-05,2.39775027903122e-05,2.40224591253999e-05
0.0034,24,0,1,0,2.51943637438209e-05,11.9256615240097,2.52202305162639e-05
0.0036,24,0,0,0,2.28056696555323e-05,3.58947387849605e-05,2.28401022147936e-05
0.0038,24,0,0,1,2.5193819735273e-05,2.51702571202191e-05,11.9535805516799
0.004,24,0,0,0,2.28063945959237e-05,2.27748702155189e-05,3.59815884479544e-05
0.0042,24,0,0,0,2.40000825393321e-05,2.39704876005168e-05,2.40294743688761e-05
0.0044,24,0,1,0,2.51945044355285e-05,11.922172158412,2.52264786260011e-05
0.0046,24,0,0,0,2.28056821252795e-05,3.58842356928877e-05,2.28478813395015e-05
0.0048,24,0,0,1,2.51938275386509e-05,2.51640126550836e-05,11.9570691077084
0.005,24,0,0,0,2.28065488645416e-05,2.27670907503034e-05,3.59920888519119e-05
0.0052,24,0,0,0,2.4000173965002e-05,2.39634756170295e-05,2.40364863543239e-05
0.0054,24,0,1,0,2.51946813319989e-05,11.9186844133522,2.52327240779496e-05
0.0056,24,0,0,0,2.28057328374435e-05,3.58737374522583e-05,2.28556566465552e-05
0.0058,24,0,0,1,2.51938725951369e-05,2.51577713338777e-05,11.9605560435709
0.006,24,0,0,0,2.28067422957584e-05,2.27593146675317e-05,3.60025843525831e-05
0.0062,24,0,0,0,2.40003058017661e-05,2.3956466890076e-05,2.40434950832366e-05
0.0064,24,0,1,0,2.51949017806228e-05,11.9151982880875,2.52389668730995e-05
0.0066,24,0,0,0,2.28058291370803e-05,3.58632440608964e-05,2.28634281119989e-05
0.0068,24,0,0,1,2.51939622480994e-05,2.51515331549325e-05,11.9640413600101
0.007,24,0,0,0,2.28069822306881e-05,2.27515419658816e-05,3.60130749522173e-05
0.0072,24,0,0,0,2.40004853894743e-05,2.39494614181637e-05,2.4050500557107e-05
0.0074,24,0,1,0,2.51951731173965e-05,11.9117137818754,2.52452070124409e-05
0.0076,24,0,0,0,2.28059783578538e-05,3.58527555166271e-05,2.28711957377964e-05
0.0078,24,0,0,1,2.51941038295179e-05,2.51452981165798e-05,11.9675250577682
0.008,24,0,0,0,2.28072759990575e-05,2.27437726440315e-05,3.60235606530627e-05
0.0082,24,0,0,0,2.40007200565912e-05,2.39424591481568e-05,2.40575027774271e-05
0.0084,24,0,1,0,2.5195502666935e-05,11.9082308939737,2.52514444969636e-05
0.0086,24,0,0,0,2.28061878220489e-05,3.58422718172764e-05,2.28789595259101e-05
0.0088,24,0,0,1,2.51943046599961e-05,2.51390662171527e-05,11.9710071375874
0.009,24,0,0,0,2.280763091922e-05,2.27360067006599e-05,3.60340414573665e-05
0.0092,24,0,0,0,2.40010171202088e-05,2.39354601818663e-05,2.40645017456883e-05
0.0094,24,0,1,0,2.51958977424852e-05,11.9047496236408,2.52576793276571e-05
0.0096,24,0,0,0,2.28064648405848e-05,3.5831792960671e-05,2.28867195821632e-05
0.0098,24,0,0,1,2.51945720487748e-05,2.5132837454985e-05,11.9744876002091
0.01,24,0,0,0,2.28080542981687e-05,2.27282441344459e-05,3.60445173673752e-05
0.0102,24,0,0,0,2.40013838860598e-05,2.39284644661428e-05,2.40714974633813e-05
0.0104,24,0,1,0,2.51963656459388e-05,11.9012699701349,2.52639115055105e-05
0.0106,24,0,0,0,2.28068167130281e-05,3.58213189446392e-05,2.28944755969306e-05
0.0108,24,0,0,1,2.51949132937451e-05,2.51266118284115e-05,11.9779664463746
0.011,24,0,0,0,2.28085534315489e-05,2.2720484944069e-05,3.60549883853338e-05
0.0112,24,0,0,0,2.40018276485309e-05,2.39214719994964e-05,2.4078489931996e-05
0.0114,24,0,1,0,2.51969136678457e-05,11.8977919327153,2.52701410315131e-05
0.0116,24,0,0,0,2.28072507276055e-05,3.58108497670092e-05,2.29022279876793e-05
0.0118,24,0,0,1,2.51953356814616e-05,2.5120389335768e-05,11.9814436768249
0.012,24,0,0,0,2.28091356036718e-05,2.2712729128209e-05,3.60654545134868e-05
0.0122,24,0,0,0,2.40023556906756e-05,2.39144827804377e-05,2.40854791530218e-05
0.0124,24,0,1,0,2.5197549087427e-05,11.8943155106408,2.52763679066534e-05
0.0126,24,0,0,0,2.28077741612176e-05,3.58003854256111e-05,2.2909976340739e-05
0.0128,24,0,0,1,2.51958464871554e-05,2.51141699753914e-05,11.9849192923007
0.013,24,0,0,0,2.28098080875273e-05,2.2704976685546e-05,3.6075915754077e-05
0.0132,24,0,0,0,2.40029752842271e-05,2.39074968074782e-05,2.40924651279472e-05
0.0134,24,0,1,0,2.51982791725878e-05,11.8908407031714,2.52825921319201e-05
0.0136,24,0,0,0,2.28083942794511e-05,3.57899259182751e-05,2.29177210738162e-05
0.0138,24,0,0,1,2.51964529747469e-05,2.51079537456194e-05,11.988393293542
0.014,24,0,0,0,2.28105781447971e-05,2.26972276147607e-05,3.60863721093472e-05
0.0142,24,0,0,0,2.40036936896121e-05,2.39005140791298e-05,2.40994478582602e-05
0.0144,24,0,1,0,2.51991111799305e-05,11.8873675095665,2.52888137083014e-05
0.0146,24,0,0,0,2.28091183365927e-05,3.57794712428332e-05,2.2925461772997e-05
0.0148,24,0,0,1,2.51971623968594e-05,2.51017406447909e-05,11.9918656812891
0.015,24,0,0,0,2.28114530258677e-05,2.2689481914534e-05,3.60968235815381e-05
0.0152,24,0,0,0,2.40045181559629e-05,2.38935345939054e-05,2.41064273454481e-05
0.0154,24,0,1,0,2.52000523547678e-05,11.8838959290869,2.52950326367853e-05
0.0156,24,0,0,0,2.28099535756414e-05,3.57690213971175e-05,2.29331988562268e-05
0.0158,24,0,0,1,2.51979819948315e-05,2.50955306712455e-05,11.9953364562813
0.016,24,0,0,0,2.28124399698436e-05,2.26817395835473e-05,3.61072701728905e-05
0.0162,24,0,0,0,2.40054559211312e-05,2.38865583503184e-05,2.41134035909974e-05
0.0164,24,0,1,0,2.52011099311358e-05,11.8804259609928,2.53012489183596e-05
0.0166,24,0,0,0,2.28109072283219e-05,3.57585763789616e-05,2.29409319093488e-05
0.0168,24,0,0,1,2.51989189987308e-05,2.50893238233239e-05,11.9988056192578
0.017,24,0,0,0,2.28135462045599e-05,2.26740006204823e-05,3.6117711885643e-05
0.0172,24,0,0,0,2.40065142117006e-05,2.38795853468829e-05,2.41203765963939e-05
0.0174,24,0,1,0,2.52022911318067e-05,11.876957604545,2.53074625540118e-05
0.0176,24,0,0,0,2.28119865150977e-05,3.57481361861995e-05,2.29486612464441e-05
0.0178,24,0,0,1,2.51999806273662e-05,2.5083120099368e-05,12.0022731709579
0.018,24,0,0,0,2.28147789465961e-05,2.26662650240211e-05,3.61281487220341e-05
0.0182,24,0,0,0,2.40077002429999e-05,2.38726155821137e-05,2.41273463631228e-05
0.0184,24,0,1,0,2.52036031683023e-05,11.8734908590055,2.53136735447293e-05
0.0186,24,0,0,0,2.28131986451839e-05,3.57377008166666e-05,2.29563869736877e-05
0.0188,24,0,0,1,2.52011740883013e-05,2.50769194977201e-05,12.0057391121197
0.019,24,0,0,0,2.28161454012879e-05,2.26585327928463e-05,3.61385806843013e-05
0.0192,24,0,0,0,2.40090212191159e-05,2.38656492604382e-05,2.41343128926688e-05
0.0194,24,0,1,0,2.52050532409063e-05,11.8700257236352,2.53198818914989e-05
0.0196,24,0,0,0,2.281455081656e-05,3.57272702681994e-05,2.29641084682325e-05
0.0198,24,0,0,1,2.52025065778675e-05,2.50707220167241e-05,12.0092034434816
0.02,24,0,0,0,2.28176527627414e-05,2.26508039256408e-05,3.61490077746803e-05
0.0202,24,0,0,0,2.40104843329065e-05,2.38586859684889e-05,2.41412761865154e-05
0.0204,24,0,1,0,2.5206648538678e-05,11.8665621976963,2.53260875953074e-05
0.0206,24,0,0,0,2.28160502159834e-05,3.57168445386346e-05,2.2971826356826e-05
0.0208,24,0,0,1,2.52039852811765e-05,2.50645276547244e-05,12.0126661657812
0.021,24,0,0,0,2.28193082138453e-05,2.26430784210878e-05,3.61594299954065e-05
0.0212,24,0,0,0,2.40120967660137e-05,2.38517257049631e-05,2.41482362461458e-05
0.0214,24,0,1,0,2.52083962394647e-05,11.863100280451,2.53322906571414e-05
0.0216,24,0,0,0,2.28177040190019e-05,3.57064236258103e-05,2.29795404331508e-05
0.0218,24,0,0,1,2.52056173721338e-05,2.50583364100669e-05,12.0161272797566
0.022,24,0,0,0,2.28211189262841e-05,2.26353562778712e-05,3.61698473487139e-05
0.0222,24,0,0,0,2.40138656888763e-05,2.38447688800214e-05,2.41551930730424e-05
0.0224,24,0,1,0,2.52103035099151e-05,11.8596399711624,2.53384910779872e-05
0.0226,24,0,0,0,2.28195193899669e-05,3.56960075275653e-05,2.29872509076607e-05
0.0228,24,0,0,1,2.5207410013451e-05,2.50521482810978e-05,12.0195867861446
0.023,24,0,0,0,2.28230920605509e-05,2.26276374946748e-05,3.61802598368362e-05
0.0232,24,0,0,0,2.40157982607432e-05,2.38378154920022e-05,2.4162146668687e-05
0.0234,24,0,1,0,2.52123775054917e-05,11.856181269093,2.53446888588307e-05
0.0236,24,0,0,0,2.28215034820459e-05,3.56855962417401e-05,2.29949571567835e-05
