time,Vdc,da,db,dc,Ia,Ib,Ic
0,24,0,0,0,1.19999981417779e-05,0,0
0.0002,24,0,0,0,2.39999568010979e-05,2.39996512232247e-05,2.40002623769221e-05
0.0004,24,1,1,0,12.5655120582641,12.5620343209012,2.65191943319797e-05
0.0006,24,0,0,0,3.53087705449961e-05,3.52990626939461e-05,2.1494020767376e-05
0.0008,24,0,0,1,2.51940068472279e-05,2.51926649306526e-05,11.941059852652
0.001,24,0,0,0,2.28059890890482e-05,2.28039510544056e-05,3.59428046644871e-05
0.0012,24,0,0,0,2.39999729548576e-05,2.39978508741241e-05,2.40021112891011e-05
0.0014,24,1,1,0,12.5655218138857,12.5610748214634,2.65209151902504e-05
0.0016,24,0,0,0,3.53087646813647e-05,3.52964002623327e-05,2.14959314308018e-05
0.0018,24,0,0,1,2.51939901010295e-05,2.51910480447914e-05,11.9419630083429
0.002,24,0,0,0,2.28060081653221e-05,2.2801937261622e-05,3.5945523153027e-05
0.0022,24,0,0,0,2.39999743808472e-05,2.3996035520891e-05,2.40039266292237e-05
0.0024,24,1,1,0,12.5655323766315,12.5601167396137,2.6522633682864e-05
0.0026,24,0,0,0,3.530876141696e-05,3.52937416091353e-05,2.1497839282971e-05
0.0028,24,0,0,1,2.51939747056515e-05,2.51894334954315e-05,11.9428648680333
0.003,24,0,0,0,2.28060286681269e-05,2.27999263431376e-05,3.59482377388422e-05
0.0032,24,0,0,0,2.39999773486786e-05,2.39942227862345e-05,2.40057393643877e-05
0.0034,24,1,1,0,12.5655439879598,12.5591603676711,2.65243493329425e-05
0.0036,24,0,0,0,3.5308761485871e-05,3.52910874995453e-05,2.14997436820956e-05
0.0038,24,0,0,1,2.51939611553906e-05,2.51878217546264e-05,11.9437651679987
0.004,24,0,0,0,2.28060510807749e-05,2.27979188870641e-05,3.5950947628134e-05
0.0042,24,0,0,0,2.39999823874171e-05,2.39924132410833e-05,2.40075489645079e-05
0.0044,24,1,1,0,12.5655568874498,12.5582059972129,2.65260616645149e-05
0.0046,24,0,0,0,3.53087656164297e-05,3.52884386970778e-05,2.15016440461266e-05
0.0048,24,0,0,1,2.51939499407579e-05,2.51862132933352e-05,11.9446636451155
0.005,24,0,0,0,2.28060758826944e-05,2.27959154801917e-05,3.59536520289139e-05
0.0052,24,0,0,0,2.39999898723083e-05,2.39906073053858e-05,2.40093549007068e-05
0.0054,24,1,1,0,12.5655713124616,12.557253918982,2.65277702026545e-05
0.0056,24,0,0,0,3.53087745301624e-05,3.5285795963368e-05,2.15035398464973e-05
0.0058,24,0,0,1,2.51939415477694e-05,2.51846085812858e-05,11.9455600369375
0.006,24,0,0,0,2.28061035487229e-05,2.27939167078181e-05,3.59563501512343e-05
0.0062,24,0,0,0,2.4000000337413e-05,2.39888055611245e-05,2.40111566454683e-05
0.0064,24,1,1,0,12.5655874977862,12.5563044227886,2.65294744735875e-05
0.0066,24,0,0,0,3.53087889407378e-05,3.52831600579645e-05,2.15054304788178e-05
0.0068,24,0,0,1,2.51939364572419e-05,2.51830080868384e-05,11.946454081772
0.007,24,0,0,0,2.28061345484081e-05,2.27919231535782e-05,3.59590412074177e-05
0.0072,24,0,0,0,2.40000142569297e-05,2.39870085343009e-05,2.40129536727909e-05
0.0074,24,1,1,0,12.5656056752994,12.5553577974123,2.65311740048009e-05
0.0076,24,0,0,0,3.5308809552926e-05,3.52805317381225e-05,2.15073153666693e-05
0.0078,24,0,0,1,2.51939351440972e-05,2.51814122768498e-05,11.9473455187557
0.008,24,0,0,0,2.28061693453151e-05,2.27899353992748e-05,3.59617244122855e-05
0.0082,24,0,0,0,2.4000032044501e-05,2.39852166948029e-05,2.40147454583404e-05
0.0084,24,1,1,0,12.565626073619,12.5544143305046,2.65328683251508e-05
0.0086,24,0,0,0,3.53088370615689e-05,3.52779117585978e-05,2.15091939359012e-05
0.0088,24,0,0,1,2.51939380766733e-05,2.51798216165382e-05,11.9482340879306
0.009,24,0,0,0,2.28062083963433e-05,2.27879540247097e-05,3.59643989833854e-05
0.0092,24,0,0,0,2.40000542705077e-05,2.39834306740415e-05,2.40165314796018e-05
0.0094,24,1,1,0,12.5656489177669,12.5534743084931,2.65345569649701e-05
0.0096,24,0,0,0,3.53088721505654e-05,3.52753008714419e-05,2.15110657184683e-05
0.0098,24,0,0,1,2.51939457160461e-05,2.5178236569349e-05,11.9491195303188
0.01,24,0,0,0,2.28062521510516e-05,2.27859796075154e-05,3.59670641412182e-05
0.0102,24,0,0,0,2.40000813344257e-05,2.39816509381107e-05,2.40183112160308e-05
0.0104,24,1,1,0,12.5656744288356,12.5525380164841,2.6536239456176e-05
0.0106,24,0,0,0,3.53089154918701e-05,3.52726998257986e-05,2.15129298344141e-05
0.0108,24,0,0,1,2.51939585153594e-05,2.51766575968205e-05,11.9500015879979
0.011,24,0,0,0,2.28063010509932e-05,2.27840127229885e-05,3.59697191094624e-05
0.0112,24,0,0,0,2.40001136821392e-05,2.39798780054338e-05,2.4020084149204e-05
0.0114,24,1,1,0,12.5657028236609,12.5516057381687,2.65379153323777e-05
0.0116,24,0,0,0,3.53089677445075e-05,3.52701093676991e-05,2.15147861321398e-05
0.0118,24,0,0,1,2.51939769191669e-05,2.51750851584513e-05,11.9508800041751
0.012,24,0,0,0,2.28063555290623e-05,2.27820539439229e-05,3.59723631151995e-05
0.0122,24,0,0,0,2.40001517507911e-05,2.39781123921631e-05,2.40218497629689e-05
0.0124,24,1,1,0,12.5657343144988,12.5506777557269,2.65395841289831e-05
0.0126,24,0,0,0,3.53090295536057e-05,3.52675302398613e-05,2.15166336338898e-05
0.0128,24,0,0,1,2.51940013627847e-05,2.51735197115675e-05,11.9517545232615
0.013,24,0,0,0,2.28064160088514e-05,2.27801038404443e-05,3.59749953891359e-05
0.0132,24,0,0,0,2.40001959681404e-05,2.39763546120314e-05,2.40236075435927e-05
0.0134,24,1,1,0,12.56576910871,12.5497543497351,2.65412453833066e-05
0.0136,24,0,0,0,3.53091015494445e-05,3.52649631814872e-05,2.15184721943943e-05
0.0138,24,0,0,1,2.51940322716561e-05,2.51719617111917e-05,11.9526248909456
0.014,24,0,0,0,2.28064829040209e-05,2.27781629798459e-05,3.59776151658256e-05
0.0142,24,0,0,0,2.40002467519315e-05,2.39746051762036e-05,2.40253569799102e-05
0.0144,24,1,1,0,12.5658074084489,12.5488357990718,2.65428986346749e-05
0.0146,24,0,0,0,3.53091843465268e-05,3.52624089280635e-05,2.15203008424821e-05
0.0148,24,0,0,1,2.51940700607304e-05,2.51704116099118e-05,11.953490854267
0.015,24,0,0,0,2.28065566176828e-05,2.27762319264249e-05,3.59802216838893e-05
0.0152,24,0,0,0,2.4000304509277e-05,2.39728645931298e-05,2.40270975634712e-05
0.0154,24,1,1,0,12.5658494103621,12.5479223808267,2.65445434245347e-05
0.0156,24,0,0,0,3.53092785426674e-05,3.52598682111611e-05,2.15221194399623e-05
0.0158,24,0,0,1,2.51941151338539e-05,2.51688698577513e-05,11.954352161688
0.016,24,0,0,0,2.28066375417969e-05,2.27743112413196e-05,3.59828141862347e-05
0.0162,24,0,0,0,2.40003696360539e-05,2.3971133368399e-05,2.40288287886866e-05
0.0164,24,1,1,0,12.5658953052908,12.5470143702081,2.65461792965584e-05
0.0166,24,0,0,0,3.53093847181055e-05,3.52573417582378e-05,2.15239270229919e-05
0.0168,24,0,0,1,2.51941678831763e-05,2.51673369020405e-05,11.9552085631668
0.017,24,0,0,0,2.28067260565828e-05,2.27724014823483e-05,3.59853919202724e-05
0.0172,24,0,0,0,2.40004425163151e-05,2.3969412004594e-05,2.40305501529734e-05
0.0174,24,1,1,0,12.5659452779831,12.5461120404534,2.65478057967509e-05
0.0176,24,0,0,0,3.53095034346383e-05,3.52548302924403e-05,2.15257233574924e-05
0.0178,24,0,0,1,2.51942286885729e-05,2.51658131872881e-05,11.95605981023
0.018,24,0,0,0,2.28068225299459e-05,2.2770503203849e-05,3.59879541381329e-05
0.0182,24,0,0,0,2.40005235217156e-05,2.3967701001147e-05,2.40322611568994e-05
0.0184,24,1,1,0,12.5659995068145,12.5452156627401,2.65494224735558e-05
0.0186,24,0,0,0,3.53096352347794e-05,3.52523345324083e-05,2.15275080062034e-05
0.0188,24,0,0,1,2.51942979170805e-05,2.51642991550545e-05,11.9569056560412
0.019,24,0,0,0,2.28069273169207e-05,2.27686169565197e-05,3.59905000968815e-05
0.0192,24,0,0,0,2.40006132289412e-05,2.39660010718054e-05,2.40339613043259e-05
0.0194,24,1,1,0,12.5660581635131,12.5443255060957,2.65510288779609e-05
0.0196,24,0,0,0,3.53097806409424e-05,3.52498551920802e-05,2.15292798102036e-05
0.0198,24,0,0,1,2.51943759223527e-05,2.51627952438252e-05,11.9577458554745
0.02,24,0,0,0,2.280704075913e-05,2.27667432872611e-05,3.59930290587286e-05
0.0202,24,0,0,0,2.40007115472249e-05,2.39643122740387e-05,2.40356501025499e-05
0.0204,24,1,1,0,12.566121412898,12.5434418373118,2.65526245636044e-05
0.0206,24,0,0,0,3.53099401546473e-05,3.52473929804978e-05,2.15310388595881e-05
0.0208,24,0,0,1,2.51944630441302e-05,2.5161301888886e-05,11.9585801651829
0.021,24,0,0,0,2.2807163184261e-05,2.27648827390192e-05,3.59955402912436e-05
0.0212,24,0,0,0,2.4000818807748e-05,2.39626350970191e-05,2.40373270624453e-05
0.0214,24,1,1,0,12.5661894126229,12.5425649208573,2.65542090868807e-05
0.0216,24,0,0,0,3.53101142557578e-05,3.52449486016154e-05,2.15327844194536e-05
0.0218,24,0,0,1,2.519455960773e-05,2.5159819522199e-05,11.9594083436693
0.022,24,0,0,0,2.28072949055605e-05,2.27630358506299e-05,3.59980330675624e-05
0.0222,24,0,0,0,2.40009357631452e-05,2.39609704613277e-05,2.40389916986026e-05
0.0224,24,1,1,0,12.5662623129319,12.5416950187937,2.65557820070461e-05
0.0226,24,0,0,0,3.53103034017426e-05,3.52425227541076e-05,2.15345161746415e-05
0.0228,24,0,0,1,2.51946659235525e-05,2.51583485722792e-05,11.9602301513534
0.023,24,0,0,0,2.28074362213476e-05,2.27612031566651e-05,3.60005066665963e-05
0.0232,24,0,0,0,2.40010627150683e-05,2.39593188484736e-05,2.40406435294674e-05
0.0234,24,1,1,0,12.5663402564206,12.5408323906889,2.65573428863231e-05
0.0236,24,0,0,0,3.53105080269681e-05,3.52401161311803e-05,2.15362329851058e-05
0.0238,24,0,0,1,2.51947822866086e-05,2.5156889464073e-05,11.9610453506421
0.024,24,0,0,0,2.28075874145459e-05,2.27593851872792e-05,3.6002960373236e-05
0.0242,24,0,0,0,2.40011995137058e-05,2.39576803009069e-05,2.40422820774779e-05
0.0244,24,1,1,0,12.5664233778117,12.5399772935368,2.65588912900072e-05
0.0246,24,0,0,0,3.53107285420165e-05,3.52377294203802e-05,2.15379349608456e-05
0.0248,24,0,0,1,2.51949089760651e-05,2.5155442618837e-05,11.9618537059962
0.025,24,0,0,0,2.28077487522358e-05,2.27575824680581e-05,3.6005393478557e-05
0.0252,24,0,0,0,2.4001346429295e-05,2.39560552921048e-05,2.40439068692013e-05
0.0254,24,1,1,0,12.5665118037373,12.5391299816738,2.65604267865708e-05
0.0256,24,0,0,0,3.53109653330391e-05,3.52353633034095e-05,2.15396213873048e-05
0.0258,24,0,0,1,2.51950462548116e-05,2.51540084540188e-05,11.9626549839982
0.026,24,0,0,0,2.28079204852258e-05,2.27557955198688e-05,3.6007805280021e-05
0.0262,24,0,0,0,2.40015041517087e-05,2.39544447262884e-05,2.40455174354684e-05
0.0264,24,1,1,0,12.5666056525335,12.5382907066994,2.65619489477688e-05
0.0266,24,0,0,0,3.53112187611359e-05,3.52330184559392e-05,2.15412919704492e-05
0.0268,24,0,0,1,2.51951943690469e-05,2.51525873831381e-05,11.9634489534175
0.027,24,0,0,0,2.28081028476461e-05,2.27540248587106e-05,3.60101950816766e-05
0.0272,24,0,0,0,2.40016729180769e-05,2.39528490681859e-05,2.40471133115075e-05
0.0274,24,1,1,0,12.5667050340425,12.537459717395,2.65634573487431e-05
0.0276,24,0,0,0,3.53114891617706e-05,3.52306955474249e-05,2.15429457993343e-05
0.0278,24,0,0,1,2.51953535478872e-05,2.51511798156697e-05,11.9642353852774
0.028,24,0,0,0,2.28082960565623e-05,2.27522709955681e-05,3.60125621943555e-05
0.0282,24,0,0,0,2.40018525123852e-05,2.39512683430454e-05,2.40486940370761e-05
0.0284,24,1,1,0,12.5668100494298,12.5366372596475,2.65649515681272e-05
0.0286,24,0,0,0,3.53117768442144e-05,3.52283952409236e-05,2.15445823838561e-05
0.0288,24,0,0,1,2.51955240029965e-05,2.51497861569275e-05,11.9650140529204
0.029,24,0,0,0,2.28085003116114e-05,2.27505344362653e-05,3.60149059358705e-05
0.0292,24,0,0,0,2.40020431370953e-05,2.39497030064914e-05,2.40502591565927e-05
0.0294,24,1,1,0,12.5669207910087,12.5358235763715,2.65664311881508e-05
0.0296,24,0,0,0,3.53120820910256e-05,3.5226118192912e-05,2.15462016550421e-05
0.0298,24,0,0,1,2.51957059282375e-05,2.51484068079497e-05,11.9657847320716
0.03,24,0,0,0,2.28087157946594e-05,2.27488156813218e-05,3.60172256312078e-05
0.0302,24,0,0,0,2.40022454128214e-05,2.39481539442523e-05,2.40518082192653e-05
0.0304,24,1,1,0,12.5670373420786,12.5350189074349,2.65678957947443e-05
0.0306,24,0,0,0,3.53124051575619e-05,3.52238650531071e-05,2.15478031349911e-05
0.0308,24,0,0,1,2.51958994993468e-05,2.51470421653848e-05,11.9665472009025
0.031,24,0,0,0,2.2808942669482e-05,2.27471152258095e-05,3.60195206127205e-05
0.0312,24,0,0,0,2.40024595060128e-05,2.394662160216e-05,2.40533407792203e-05
0.0314,24,1,1,0,12.567159776771,12.5342234895823,2.65693449776421e-05
0.0316,24,0,0,0,3.53127462715276e-05,3.52216364642885e-05,2.15493857292895e-05
0.0318,24,0,0,1,2.51961048736315e-05,2.51456926213805e-05,11.9673012400948
0.032,24,0,0,0,2.2809181081468e-05,2.27454335592122e-05,3.60217902203156e-05
0.0322,24,0,0,0,2.40026849106295e-05,2.39451057687424e-05,2.40548563956284e-05
0.0324,24,1,1,0,12.5672881599138,12.533437556366,2.65707783304882e-05
0.0326,24,0,0,0,3.53131056325525e-05,3.52194330621193e-05,2.15509500106971e-05
0.0328,24,0,0,1,2.51963221896904e-05,2.51443585634718e-05,11.9680466329024
0.033,24,0,0,0,2.28094311573456e-05,2.27437711652863e-05,3.60240338016436e-05
0.0332,24,0,0,0,2.40029224099218e-05,2.39436075319599e-05,2.40563546328303e-05
0.0334,24,1,1,0,12.5674225468975,12.5326613380697,2.65721954509376e-05
0.0336,24,0,0,0,3.53134834118122e-05,3.52172554749743e-05,2.15524944825582e-05
0.0338,24,0,0,1,2.51965515671577e-05,2.51430403744722e-05,11.9687831652118
0.034,24,0,0,0,2.28096930049334e-05,2.27421285219225e-05,3.60262507122821e-05
0.0342,24,0,0,0,2.40031718961304e-05,2.39421271047448e-05,2.40578350604597e-05
0.0344,24,1,1,0,12.5675629835637,12.5318950616427,2.65735959407622e-05
0.0346,24,0,0,0,3.53138797516778e-05,3.52151043237639e-05,2.15540186928659e-05
0.0348,24,0,0,1,2.5196793106471e-05,2.51417384323652e-05,11.9695106256054
0.035,24,0,0,0,2.28099667129139e-05,2.27405061010107e-05,3.60284403159194e-05
0.0352,24,0,0,0,2.40034334602865e-05,2.39406649120478e-05,2.4059297253566e-05
0.0354,24,1,1,0,12.5677095060986,12.5311389506291,2.65749794059527e-05
0.0356,24,0,0,0,3.53142947654042e-05,3.52129802217628e-05,2.15555230270698e-05
0.0358,24,0,0,1,2.51970468886641e-05,2.5140453110198e-05,11.9702288054187
0.036,24,0,0,0,2.28102523506323e-05,2.27389043683049e-05,3.60306019845338e-05
0.0362,24,0,0,0,2.40037071740061e-05,2.39392213732835e-05,2.40607407927343e-05
0.0364,24,1,1,0,12.567862140941,12.530393225101,2.65763454568223e-05
0.0366,24,0,0,0,3.53147285368579e-05,3.52108837744413e-05,2.15570066318335e-05
0.0368,24,0,0,1,2.51973129751826e-05,2.51391847759755e-05,11.9709374987996
0.037,24,0,0,0,2.28105499679192e-05,2.27373237832913e-05,3.60327350985734e-05
0.0372,24,0,0,0,2.40039935253534e-05,2.39377973369212e-05,2.40621652642045e-05
0.0374,24,1,1,0,12.5680209047028,12.5296581015932,2.65776937081093e-05
0.0376,24,0,0,0,3.53151811202766e-05,3.52088155792961e-05,2.15584690761913e-05
0.0378,24,0,0,1,2.51975914077263e-05,2.51379337925576e-05,11.9716365027691
0.038,24,0,0,0,2.28108595949383e-05,2.27357647990576e-05,3.60348390471297e-05
0.0382,24,0,0,0,2.4004291674535e-05,2.39363923415055e-05,2.40635702599883e-05
0.0384,24,1,1,0,12.5681858041009,12.5289337930378,2.65790237790802e-05
0.0386,24,0,0,0,3.53156525400698e-05,3.5206776225684e-05,2.1559909936427e-05
0.0388,24,0,0,1,2.51978822081148e-05,2.51367005175557e-05,11.9723256172768
0.039,24,0,0,0,2.28111812420586e-05,2.27342278621639e-05,3.60369132281107e-05
0.0392,24,0,0,0,2.40046016339444e-05,2.39350067892125e-05,2.4064955377985e-05
0.0394,24,1,1,0,12.568356835904,12.5282205087037,2.65803352936319e-05
0.0396,24,0,0,0,3.53161427906546e-05,3.52047662946574e-05,2.15613287961995e-05
0.0398,24,0,0,1,2.51981853781787e-05,2.5135485303233e-05,11.9730046452582
0.04,24,0,0,0,2.28115148997518e-05,2.27327134125162e-05,3.60389570484129e-05
0.0402,24,0,0,0,2.40049242681176e-05,2.39336419454838e-05,2.40663202220958e-05
0.0404,24,1,1,0,12.5685339868873,12.5275184541327,2.65816278803936e-05
0.0406,24,0,0,0,3.53166518363304e-05,3.52027863588016e-05,2.15627256620847e-05
0.0408,24,0,0,1,2.51985008996762e-05,2.5134288496404e-05,11.9736733926903
0.041,24,0,0,0,2.28118605385148e-05,2.27312218832405e-05,3.60409699240883e-05
