time,Vdc,da,db,dc,Ia,Ib,Ic
0,24,0,0,0,1.199998885415e-05,0,0
0.0002,24,0,0,0,2.39999568010979e-05,2.39996512232247e-05,2.40002623769221e-05
0.0004,24,1,1,0,12.5655120582274,12.5620343209012,2.65191943319797e-05
0.0006,24,0,0,0,3.53087705455834e-05,3.52990626939443e-05,2.14940207673743e-05
0.0008,24,0,0,1,2.51940068470846e-05,2.51926649306542e-05,11.9410598526528
0.001,24,0,0,0,2.2805989088992e-05,2.28039510544059e-05,3.59428046644883e-05
0.0012,24,0,0,0,2.39999729548595e-05,2.39978508741239e-05,2.40021112891009e-05
0.0014,24,1,1,0,12.5655218138489,12.5610748214634,2.65209151902504e-05
0.0016,24,0,0,0,3.53087646818295e-05,3.52964002623309e-05,2.14959314308e-05
0.0018,24,0,0,1,2.51939901010356e-05,2.5191048044793e-05,11.9419630083437
0.002,24,0,0,0,2.28060081653991e-05,2.28019372616223e-05,3.59455231530281e-05
0.0022,24,0,0,0,2.39999743808491e-05,2.39960355208908e-05,2.40039266292235e-05
0.0024,24,1,1,0,12.5655323765947,12.5601167396138,2.6522633682864e-05
0.0026,24,0,0,0,3.53087614168856e-05,3.52937416091336e-05,2.14978392829692e-05
0.0028,24,0,0,1,2.5193974705684e-05,2.51894334954331e-05,11.942864868034
0.003,24,0,0,0,2.28060286681098e-05,2.27999263431378e-05,3.59482377388433e-05
0.0032,24,0,0,0,2.39999773486804e-05,2.39942227862343e-05,2.40057393643875e-05
0.0034,24,1,1,0,12.565543987923,12.5591603676711,2.65243493329425e-05
0.0036,24,0,0,0,3.53087614861635e-05,3.52910874995436e-05,2.14997436820939e-05
0.0038,24,0,0,1,2.51939611551899e-05,2.5187821754628e-05,11.9437651679994
0.004,24,0,0,0,2.28060510808481e-05,2.27979188870643e-05,3.59509476281351e-05
0.0042,24,0,0,0,2.39999823874189e-05,2.39924132410831e-05,2.40075489645077e-05
0.0044,24,1,1,0,12.565556887413,12.5582059972129,2.65260616645149e-05
0.0046,24,0,0,0,3.53087656161932e-05,3.5288438697076e-05,2.15016440461248e-05
0.0048,24,0,0,1,2.51939499407161e-05,2.51862132933369e-05,11.9446636451162
0.005,24,0,0,0,2.28060758825643e-05,2.2795915480192e-05,3.5953652028915e-05
0.0052,24,0,0,0,2.39999898723101e-05,2.39906073053856e-05,2.40093549007066e-05
0.0054,24,1,1,0,12.5655713124248,12.557253918982,2.65277702026545e-05
0.0056,24,0,0,0,3.53087745299518e-05,3.52857959633662e-05,2.15035398464955e-05
0.0058,24,0,0,1,2.51939415477631e-05,2.51846085812875e-05,11.9455600369383
0.006,24,0,0,0,2.2806103548545e-05,2.27939167078184e-05,3.59563501512354e-05
0.0062,24,0,0,0,2.40000003374149e-05,2.39888055611244e-05,2.40111566454682e-05
0.0064,24,1,1,0,12.5655874977494,12.5563044227886,2.65294744735875e-05
0.0066,24,0,0,0,3.53087889406467e-05,3.52831600579627e-05,2.1505430478816e-05
0.0068,24,0,0,1,2.51939364571685e-05,2.518300808684e-05,11.9464540817728
0.007,24,0,0,0,2.28061345484143e-05,2.27919231535785e-05,3.59590412074188e-05
0.0072,24,0,0,0,2.40000142569316e-05,2.39870085343007e-05,2.40129536727907e-05
0.0074,24,1,1,0,12.5656056752627,12.5553577974123,2.65311740048009e-05
0.0076,24,0,0,0,3.53088095534915e-05,3.52805317381207e-05,2.15073153666675e-05
0.0078,24,0,0,1,2.51939351441077e-05,2.51814122768514e-05,11.9473455187565
0.008,24,0,0,0,2.28061693453574e-05,2.27899353992751e-05,3.59617244122867e-05
0.0082,24,0,0,0,2.40000320445028e-05,2.39852166948028e-05,2.40147454583402e-05
0.0084,24,1,1,0,12.5656260735822,12.5544143305046,2.65328683251508e-05
0.0086,24,0,0,0,3.53088370612653e-05,3.5277911758596e-05,2.15091939358995e-05
0.0088,24,0,0,1,2.51939380766508e-05,2.51798216165399e-05,11.9482340879314
0.009,24,0,0,0,2.28062083963421e-05,2.278795402471e-05,3.59643989833866e-05
0.0092,24,0,0,0,2.40000542705095e-05,2.39834306740413e-05,2.40165314796016e-05
0.0094,24,1,1,0,12.5656489177301,12.5534743084931,2.65345569649701e-05
0.0096,24,0,0,0,3.530887215053e-05,3.52753008714402e-05,2.15110657184665e-05
0.0098,24,0,0,1,2.51939457160955e-05,2.51782365693506e-05,11.9491195303196
0.01,24,0,0,0,2.28062521511196e-05,2.27859796075157e-05,3.59670641412194e-05
0.0102,24,0,0,0,2.40000813344276e-05,2.39816509381105e-05,2.40183112160306e-05
0.0104,24,1,1,0,12.5656744287988,12.5525380164841,2.6536239456176e-05
0.0106,24,0,0,0,3.53089154918607e-05,3.52726998257968e-05,2.15129298344124e-05
0.0108,24,0,0,1,2.51939585153016e-05,2.51766575968221e-05,11.9500015879986
0.011,24,0,0,0,2.28063010507818e-05,2.27840127229888e-05,3.59697191094635e-05
0.0112,24,0,0,0,2.40001136821411e-05,2.39798780054336e-05,2.40200841492038e-05
0.0114,24,1,1,0,12.5657028236242,12.5516057381687,2.65379153323777e-05
0.0116,24,0,0,0,3.53089677442852e-05,3.52701093676973e-05,2.15147861321381e-05
0.0118,24,0,0,1,2.51939769192466e-05,2.51750851584529e-05,11.9508800041759
0.012,24,0,0,0,2.28063555290925e-05,2.27820539439232e-05,3.59723631152007e-05
0.0122,24,0,0,0,2.4000151750793e-05,2.39781123921629e-05,2.40218497629687e-05
0.0124,24,1,1,0,12.565734314462,12.5506777557269,2.65395841289832e-05
0.0126,24,0,0,0,3.53090295543979e-05,3.52675302398595e-05,2.1516633633888e-05
0.0128,24,0,0,1,2.51940013626939e-05,2.51735197115692e-05,11.9517545232623
0.013,24,0,0,0,2.28064160088248e-05,2.27801038404446e-05,3.5974995389137e-05
0.0132,24,0,0,0,2.40001959681423e-05,2.39763546120312e-05,2.40236075435925e-05
0.0134,24,1,1,0,12.5657691086732,12.5497543497351,2.65412453833066e-05
