time,Vdc,da,db,dc,Ia,Ib,Ic
0,24,0,0,0,-1.4802957685331e-21,7.40147884266551e-22,7.40147884266551e-22
0.0002,24,0,0,0,2.39999565606763e-05,2.39997123385988e-05,2.40002012615567e-05
0.0004,24,1,1,0,12.5031287194941,12.558998208218,2.65125292700191e-05
0.0006,24,0,0,0,3.52467487097099e-05,3.53024325058644e-05,2.15003763717338e-05
0.0008,24,0,0,1,2.5194000029851e-05,2.51928849404964e-05,11.9409380685224
0.001,24,0,0,0,2.28059791096802e-05,2.28042886781171e-05,3.59423761949318e-05
0.0012,24,0,0,0,2.39999738160931e-05,2.39982187952592e-05,2.40017431291111e-05
0.0014,24,1,1,0,12.5031368254084,12.5582010395435,2.65139589823617e-05
0.0016,24,0,0,0,3.52467438925249e-05,3.53002196284385e-05,2.15019646725484e-05
0.0018,24,0,0,1,2.51939860491105e-05,2.51915412073984e-05,11.9416886456196
0.002,24,0,0,0,2.28059948718224e-05,2.28026150973955e-05,3.59446354239211e-05
0.0022,24,0,0,0,2.39999748866918e-05,2.39967101245298e-05,2.40032517866502e-05
0.0024,24,1,1,0,12.5031455488911,12.5574051017397,2.65153866213962e-05
0.0026,24,0,0,0,3.52467410654914e-05,3.52980100488445e-05,2.15035505386265e-05
0.0028,24,0,0,1,2.51939730647502e-05,2.5190199507692e-05,11.9424380932085
0.003,24,0,0,0,2.28060116726644e-05,2.28009440245106e-05,3.59468912518748e-05
0.0032,24,0,0,0,2.39999770836749e-05,2.3995203737725e-05,2.40047581738796e-05
0.0034,24,1,1,0,12.503155055314,12.5566106347185,2.65168117893935e-05
0.0036,24,0,0,0,3.52467407344834e-05,3.52958044015022e-05,2.15051334327393e-05
0.0038,24,0,0,1,2.5193961418552e-05,2.51888602316639e-05,11.9431861932511
0.004,24,0,0,0,2.28060298449729e-05,2.27992759456829e-05,3.59491430225075e-05
0.0042,24,0,0,0,2.39999807845495e-05,2.39937001139364e-05,2.40062618525442e-05
0.0044,24,1,1,0,12.5031655086974,12.5558178777725,2.65182340894184e-05
0.0046,24,0,0,0,3.5246743401215e-05,3.5293603319389e-05,2.15067128771498e-05
0.0048,24,0,0,1,2.51939514495732e-05,2.51875237686722e-05,11.9439327282211
0.005,24,0,0,0,2.28060497187261e-05,2.27976113460048e-05,3.59513900810748e-05
0.0052,24,0,0,0,2.39999862148651e-05,2.39921995814837e-05,2.40077623854164e-05
0.0054,24,1,1,0,12.5031770714748,12.5550270695027,2.65196531254527e-05
0.0056,24,0,0,0,3.52467495625191e-05,3.52914074338719e-05,2.15082884473139e-05
0.0058,24,0,0,1,2.51939434936596e-05,2.51861905070339e-05,11.9446774811666
0.006,24,0,0,0,2.28060716206299e-05,2.27959507093e-05,3.59536317745625e-05
0.0062,24,0,0,0,2.39999937595149e-05,2.39907026308951e-05,2.40092593364236e-05
0.0064,24,1,1,0,12.5031899042548,12.5542384477399,2.65210685024907e-05
0.0066,24,0,0,0,3.52467597096264e-05,3.5289217374534e-05,2.15098596425416e-05
0.0068,24,0,0,1,2.51939378829622e-05,2.51848608339122e-05,11.9454202357727
0.007,24,0,0,0,2.28060958736379e-05,2.27942945179833e-05,3.59558674518761e-05
0.0072,24,0,0,0,2.40000037453605e-05,2.39892096969621e-05,2.40107522707739e-05
0.0074,24,1,1,0,12.5032041655839,12.5534522494666,2.65224798266327e-05
0.0076,24,0,0,0,3.52467743274526e-05,3.52870337690022e-05,2.15114259897466e-05
