time,Vdc,da,db,dc,Ia,Ib,Ic
0,24,0,0,0,-1.4802957685331e-21,7.40147884266551e-22,7.40147884266551e-22
0.0002,24,0,0,0,2.39999565781565e-05,2.39986122619434e-05,2.4001301338212e-05
0.0004,24,1,1,0,12.5031395923799,12.5578362661167,2.65146130200676e-05
0.0006,24,0,0,0,3.52466702226082e-05,3.52981757487347e-05,2.15037918522765e-05
0.0008,24,0,0,1,2.51939580792792e-05,2.51889672618446e-05,11.9431264080715
0.001,24,0,0,0,2.28060898953345e-05,2.27982436428183e-05,3.5950063144253e-05
0.0012,24,0,0,0,2.39999769153447e-05,2.39916200848994e-05,2.40083418404903e-05
0.0014,24,1,1,0,12.5031773927812,12.5541358866011,2.65212498220929e-05
0.0016,24,0,0,0,3.52466500142646e-05,3.52879037457422e-05,2.15111644301224e-05
0.0018,24,0,0,1,2.51938985315811e-05,2.51827300187766e-05,11.9466105212641
0.002,24,0,0,0,2.28061706614237e-05,2.27904747757066e-05,3.59605502562782e-05
0.0022,24,0,0,0,2.39999912004454e-05,2.39846170169987e-05,2.40153448967538e-05
0.0024,24,1,1,0,12.5032221716465,12.5504401386757,2.65278799391489e-05
0.0026,24,0,0,0,3.52466529202855e-05,3.52776432696564e-05,2.15185275342898e-05
0.0028,24,0,0,1,2.51938541616301e-05,2.51765002395706e-05,11.9500906008845
0.003,24,0,0,0,2.2806268392619e-05,2.27827146729105e-05,3.59710252008409e-05
0.0032,24,0,0,0,2.40000237355406e-05,2.39776220701793e-05,2.40223398455446e-05
0.0034,24,1,1,0,12.5032775479269,12.5467502782595,2.65345018226073e-05
0.0036,24,0,0,0,3.5246689866179e-05,3.52673971255724e-05,2.1525878581538e-05
0.0038,24,0,0,1,2.51938322919866e-05,2.51702797367836e-05,11.9535656338705
0.004,24,0,0,0,2.28063903640859e-05,2.27749655943313e-05,3.59814849287329e-05
0.0042,24,0,0,0,2.40000818523518e-05,2.39706373214773e-05,2.40293246506115e-05
0.0044,24,1,1,0,12.5033471184247,12.543067557757,2.65411139255035e-05
0.0046,24,0,0,0,3.52467717088704e-05,3.52571681139661e-05,2.15332150533448e-05
0.0048,24,0,0,1,2.51938401985402e-05,2.51640703190534e-05,11.9570346091923
0.005,24,0,0,0,2.28065438025566e-05,2.2767229795603e-05,3.59919263968942e-05
0.0052,24,0,0,0,2.40001726840396e-05,2.39636646942485e-05,2.40362972797889e-05
0.0054,24,1,1,0,12.5034344525595,12.5393932255083,2.65477147025478e-05
0.0056,24,0,0,0,3.52469092209376e-05,3.52469590301265e-05,2.15405344906592e-05
0.0058,24,0,0,1,2.51938850999578e-05,2.51578737905957e-05,11.9604965181349
0.006,24,0,0,0,2.28067358758023e-05,2.27595095274618e-05,3.6002346569263e-05
0.0062,24,0,0,0,2.40003034664663e-05,2.39567062704184e-05,2.40432557055633e-05
0.0064,24,1,1,0,12.503543087169,12.5357285252399,2.65543026101032e-05
0.0066,24,0,0,0,3.52471130749626e-05,3.52367726635912e-05,2.1547834365406e-05
0.0068,24,0,0,1,2.5193974147216e-05,2.51516919507073e-05,11.9639503545765
0.007,24,0,0,0,2.28069736821893e-05,2.27518070351225e-05,3.60127424176133e-05
0.0072,24,0,0,0,2.40004813108572e-05,2.39497640722871e-05,2.4050197905634e-05
0.0074,24,1,1,0,12.5036765213553,12.5320746955215,2.65608761061598e-05
0.0076,24,0,0,0,3.52473938280255e-05,3.5226611797589e-05,2.15551121853047e-05
0.0078,24,0,0,1,2.51941144132279e-05,2.51455265932769e-05,11.9673951152633
0.008,24,0,0,0,2.28072642403341e-05,2.27441245576637e-05,3.60231109223821e-05
0.0082,24,0,0,0,2.40007131934553e-05,2.39428400620572e-05,2.40571218634647e-05
0.0084,24,1,1,0,12.5038382113837,12.5284329692309,2.65674336503062e-05
0.0086,24,0,0,0,3.52477619063562e-05,3.52164792084897e-05,2.15623654690681e-05
0.0088,24,0,0,1,2.51943128825791e-05,2.51393795063028e-05,11.9708298000806
0.009,24,0,0,0,2.28076144788669e-05,2.27364643274197e-05,3.60334490734852e-05
0.0092,24,0,0,0,2.40010061621947e-05,2.39359363586368e-05,2.4064025568829e-05
0.0094,24,1,1,0,12.5040315656403,12.5248045730273,2.65739737036995e-05
0.0096,24,0,0,0,3.52482275901655e-05,3.52063776652618e-05,2.15695918513692e-05
0.0098,24,0,0,1,2.51945764413823e-05,2.51332524714167e-05,11.9742534123204
0.01,24,0,0,0,2.28080312263176e-05,2.27288285693822e-05,3.60437538711223e-05
0.0102,24,0,0,0,2.40013670012336e-05,2.39290549110554e-05,2.40709070183477e-05
