time,Vdc,da,db,dc,Ia,Ib,Ic
0,24,1,0,0,0,0,0
0.0002,24,0,0,0,2.39999568059138e-05,2.3999192857956e-05,2.40007207421995e-05
0.0004,24,0,1,0,2.51940724564038e-05,11.9367777235977,2.52003273123528e-05
0.0006,24,0,0,0,2.28058381311698e-05,3.59288404078423e-05,2.28146384102418e-05
0.0008,24,0,0,1,2.51939706144429e-05,2.51912948140405e-05,11.9418285585787
0.001,24,1,0,0,11.3463055198638,2.3936166758098e-05,3.70804144386117e-05
0.0012,24,0,0,0,3.53462345385801e-05,2.28610288933841e-05,2.28696851164797e-05
0.0014,24,0,1,0,2.5194124765641e-05,11.9348785021228,2.52037234496085e-05
0.0016,24,0,0,0,2.28058055895349e-05,3.59231259012521e-05,2.28188706571196e-05
0.0018,24,0,0,1,2.5193936444363e-05,2.51878974646802e-05,11.9437262676246
0.002,24,1,0,0,11.3463261272878,2.39317239820555e-05,3.70863421175153e-05
0.0022,24,0,0,0,3.53462599867311e-05,2.28574303953089e-05,2.28732794939207e-05
0.0024,24,0,1,0,2.51941706099454e-05,11.9329823325096,2.52071183782287e-05
0.0026,24,0,0,0,2.28057786029635e-05,3.59174184176521e-05,2.28230983472654e-05
0.0028,24,0,0,1,2.51939071362182e-05,2.51845037305235e-05,11.9456219975448
0.003,24,1,0,0,11.3463493851927,2.39272871666519e-05,3.70922628058636e-05
0.0032,24,0,0,0,3.53462938636515e-05,2.28538363548698e-05,2.28768689039992e-05
0.0034,24,0,1,0,2.51942236138539e-05,11.9310886435897,2.52105089373331e-05
0.0036,24,0,0,0,2.28057594550073e-05,3.59117183931427e-05,2.28273204125571e-05
0.0038,24,0,0,1,2.51938849032658e-05,2.51811145081955e-05,11.9475152473445
0.004,24,1,0,0,11.3463763636532,2.39228575915127e-05,3.70981750473909e-05
0.0042,24,0,0,0,3.5346339398775e-05,2.28502476527896e-05,2.28804522907356e-05
0.0044,24,0,1,0,2.51942859234318e-05,11.9291979355623,2.52138942310273e-05
